Sample_ID,Country,Observatory_ID,ARMS_ID,Deploy_Date,Collect_Date,Gene_COI,Gene_18S,Gene_ITS,Gene_COI_negative_control,Gene_18S_negative_control,Gene_ITS_negative_control,Latitude,Longitude,Depth_min,Depth_max,SequencingRunRepeat
ARMS_Galway_Gurr2_20200721_20210707_MF500,IRL,Galway,Gurr2,7/21/2020,7/7/2021,ERR12541405,ERR12541307,none,ERR12541482,ERR12541384,none,53.315675,-9.668541,6.2,6.2,run 1
ARMS_Galway_Gurr2_20200721_20210707_SF40,IRL,Galway,Gurr2,7/21/2020,7/7/2021,ERR12541406,ERR12541308,none,ERR12541482,ERR12541384,none,53.315675,-9.668541,6.2,6.2,run 1
ARMS_Galway_Gurr3_20200723_20210708_MF100,IRL,Galway,Gurr3,7/23/2020,7/8/2021,ERR12541407,ERR12541309,none,ERR12541482,ERR12541384,none,53.315443,-9.671564,7.2,7.2,run 1
ARMS_Galway_Gurr3_20200723_20210708_MF500,IRL,Galway,Gurr3,7/23/2020,7/8/2021,ERR12541408,ERR12541310,none,ERR12541482,ERR12541384,none,53.315443,-9.671564,7.2,7.2,run 1
ARMS_Galway_Gurr3_20200723_20210708_SF40,IRL,Galway,Gurr3,7/23/2020,7/8/2021,ERR12541409,ERR12541311,none,ERR12541482,ERR12541384,none,53.315443,-9.671564,7.2,7.2,run 1
ARMS_Gdynia_GDY1_20180813_20191029_MF100_DMSO,POL,Gdynia,GDY1,8/13/2018,10/29/2019,ERR4018726,ERR4018722,ERR4018724,ERR4018471,ERR4018472,ERR4018473,54.48522,18.57111,4,4,run 1
ARMS_Gdynia_GDY1_20180813_20191029_MF500_DMSO,POL,Gdynia,GDY1,8/13/2018,10/29/2019,ERR4018727,ERR4018723,ERR4018725,ERR4018471,ERR4018472,ERR4018473,54.48522,18.57111,4,4,run 1
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO,POL,Gdynia,GDY1,8/13/2018,10/29/2019,ERR12541471,ERR12541373,none,ERR12541481,ERR12541383,none,54.48522,18.57111,4,4,run 2  
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO,POL,Gdynia,GDY1,8/13/2018,10/29/2019,ERR12542761,ERR12542760,ERR12542762,ERR7125534,ERR7125533,ERR7125535,54.48522,18.57111,4,4,run 1
ARMS_Gdynia_GDY1_20190619_20191029_MF100,POL,Gdynia,GDY1,6/19/2019,10/29/2019,ERR9632087,ERR9632072,none,ERR9632065,ERR9632062,none,54.48522,18.57111,4,4,run 1
ARMS_Gdynia_GDY1_20190619_20191029_MF500,POL,Gdynia,GDY1,6/19/2019,10/29/2019,ERR7125527,ERR7125526,ERR7125528,ERR7125534,ERR7125533,ERR7125535,54.48522,18.57111,4,4,run 1
ARMS_Gdynia_GDY1_20190619_20191029_SF38,POL,Gdynia,GDY1,6/19/2019,10/29/2019,ERR9632088,ERR9632073,none,ERR9632065,ERR9632062,none,54.48522,18.57111,4,4,run 1
ARMS_Getxo_G1_20190624_20191016_MF100,ESP,Getxo,G1,6/24/2019,10/16/2019,ERR7127704,ERR7127693,none,ERR7125582,ERR7125581,none,43.338452,-3.014833,5,10,run 1
ARMS_Getxo_G1_20190624_20191016_MF500,ESP,Getxo,G1,6/24/2019,10/16/2019,ERR7127705,ERR7127694,none,ERR7125582,ERR7125581,none,43.338452,-3.014833,5,10,run 1
ARMS_Getxo_G1_20190624_20191016_SF40,ESP,Getxo,G1,6/24/2019,10/16/2019,ERR7127706,ERR7127695,none,ERR7125582,ERR7125581,none,43.338452,-3.014833,5,10,run 1
ARMS_Getxo_G1_20200624_20201103_MF100,ESP,Getxo,G1,6/24/2020,11/3/2020,ERR7127667,ERR7127666,ERR7127668,ERR7125534,ERR7125533,ERR7125535,43.338452,-3.014833,5,10,run 1
ARMS_Getxo_G1_20200624_20201103_MF500,ESP,Getxo,G1,6/24/2020,11/3/2020,ERR7127670,ERR7127669,ERR7127671,ERR7125534,ERR7125533,ERR7125535,43.338452,-3.014833,5,10,run 1
ARMS_Getxo_G1_20200624_20201103_SF40,ESP,Getxo,G1,6/24/2020,11/3/2020,ERR7127673,ERR7127672,ERR7127674,ERR7125534,ERR7125533,ERR7125535,43.338452,-3.014833,5,10,run 1
ARMS_Getxo_G2_20190624_20191016_MF100,ESP,Getxo,G2,6/24/2019,10/16/2019,ERR7127676,ERR7127675,ERR7127677,ERR7125534,ERR7125533,ERR7125535,43.3385,-3.01491,5,10,run 1
ARMS_Getxo_G2_20190624_20191016_MF500,ESP,Getxo,G2,6/24/2019,10/16/2019,ERR7127707,ERR7127696,none,ERR7125582,ERR7125581,none,43.3385,-3.01491,5,10,run 1
ARMS_Getxo_G2_20190624_20191016_SF40,ESP,Getxo,G2,6/24/2019,10/16/2019,ERR7127708,ERR7127697,none,ERR7125582,ERR7125581,none,43.3385,-3.01491,5,10,run 1
ARMS_Getxo_G2_20200624_20201103_MF100,ESP,Getxo,G2,6/24/2020,11/3/2020,ERR7127679,ERR7127678,ERR7127680,ERR7125534,ERR7125533,ERR7125535,43.3385,-3.01491,5,10,run 1
ARMS_Getxo_G2_20200624_20201103_SF40,ESP,Getxo,G2,6/24/2020,11/3/2020,ERR7127682,ERR7127681,ERR7127683,ERR7125534,ERR7125533,ERR7125535,43.3385,-3.01491,5,10,run 1
ARMS_Getxo_G3_20190624_20191016_MF100,ESP,Getxo,G3,6/24/2019,10/16/2019,ERR7127709,ERR7127698,none,ERR7125582,ERR7125581,none,43.33843,-3.01483,5,10,run 1
ARMS_Getxo_G3_20190624_20191016_MF500,ESP,Getxo,G3,6/24/2019,10/16/2019,ERR7127710,ERR7127699,none,ERR7125582,ERR7125581,none,43.33843,-3.01483,5,10,run 1
