Sample_ID,Country,Observatory_ID,ARMS_ID,Deploy_Date,Collect_Date,gene_COI,gene_18S,gene_ITS,negativeControl_gene_COI,negativeControl_gene_18S,negativeControl_gene_ITS,AccessRights,latitude,longitude,depth,Fraction,Preservative,Filter
ARMS_Eilat_NR2_181017_200524_MF500_DMSO,Israel,Eilat,NR2 ,2018-10-17,2020-05-24,ERR7127633,ERR7127621,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,29.50555,34.920278,10,Motile,DMSO,500
ARMS_Eilat_NR2_181017_200524_SF45_DMSO,Israel,Eilat,NR2 ,2018-10-17,2020-05-24,ERR7127634,ERR7127622,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,29.50555,34.920278,10,Sessile,DMSO,45
ARMS_Gdynia_GDY1_180813_191029_MF100_DMSO-EDTA,Poland,Gdynia,GDY1,2018-08-13,2019-10-29,ERR4018726,ERR4018722,ERR4018724,ERR4018471,ERR4018472,ERR4018473,CC BY,54.48522,18.57111,4,Motile,DMSO-EDTA,100
ARMS_Gdynia_GDY1_180813_191029_MF500_DMSO-EDTA,Poland,Gdynia,GDY1,2018-08-13,2019-10-29,ERR4018727,ERR4018723,ERR4018725,ERR4018471,ERR4018472,ERR4018473,CC BY,54.48522,18.57111,4,Motile,DMSO-EDTA,500
ARMS_Gdynia_GDY1_180813_191029_SF38_DMSO-EDTA,Poland,Gdynia,GDY1,2018-08-13,2019-10-29,failed,failed,failed,ERR7125534,ERR7125533,ERR7125535,CC BY,54.48522,18.57111,4,Sessile,DMSO-EDTA,38
ARMS_Gdynia_GDY1_190619_191029_MF100_DMSO-EDTA,Poland,Gdynia,GDY1,2019-06-19,2019-10-29,ERR9632087,ERR9632072,no longer provided,ERR9632065,ERR9632062,no longer provided,CC BY,54.48522,18.57111,4,Motile,DMSO-EDTA,100
ARMS_Gdynia_GDY1_190619_191029_MF500_DMSO-EDTA,Poland,Gdynia,GDY1,2019-06-19,2019-10-29,ERR7125527,ERR7125526,ERR7125528,ERR7125534,ERR7125533,ERR7125535,CC BY,54.48522,18.57111,4,Motile,DMSO-EDTA,500
ARMS_Gdynia_GDY1_190619_191029_SF38_DMSO-EDTA,Poland,Gdynia,GDY1,2019-06-19,2019-10-29,ERR9632088,ERR9632073,no longer provided,ERR9632065,ERR9632062,no longer provided,CC BY,54.48522,18.57111,4,Sessile,DMSO-EDTA,38
ARMS_Getxo_G1_190624_191016_MF100_DMSO,Spain,Getxo,G1,2019-06-24,2019-10-16,ERR7127704,ERR7127693,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,43.338452,-3.014833,5,Motile,DMSO,100
ARMS_Getxo_G1_190624_191016_MF500_DMSO,Spain,Getxo,G1,2019-06-24,2019-10-16,ERR7127705,ERR7127694,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,43.338452,-3.014833,5,Motile,DMSO,500
ARMS_Getxo_G1_190624_191016_SF40_DMSO,Spain,Getxo,G1,2019-06-24,2019-10-16,ERR7127706,ERR7127695,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,43.338452,-3.014833,5,Sessile,DMSO,40
ARMS_Getxo_G1_200624_201103_MF100_DMSO,Spain,Getxo,G1,2020-06-24,2020-11-03,ERR7127667,ERR7127666,ERR7127668,ERR7125534,ERR7125533,ERR7125535,CC BY,43.338452,-3.014833,5,Motile,DMSO,100
ARMS_Getxo_G1_200624_201103_MF500_DMSO,Spain,Getxo,G1,2020-06-24,2020-11-03,ERR7127670,ERR7127669,ERR7127671,ERR7125534,ERR7125533,ERR7125535,CC BY,43.338452,-3.014833,5,Motile,DMSO,500
ARMS_Getxo_G1_200624_201103_SF40_DMSO,Spain,Getxo,G1,2020-06-24,2020-11-03,ERR7127673,ERR7127672,ERR7127674,ERR7125534,ERR7125533,ERR7125535,CC BY,43.338452,-3.014833,5,Sessile,DMSO,40
ARMS_Getxo_G2_190624_191016_MF100_DMSO,Spain,Getxo,G2,2019-06-24,2019-10-16,ERR7127676,ERR7127675,ERR7127677,ERR7125534,ERR7125533,ERR7125535,CC BY,43.3385,-3.01491,5,Motile,DMSO,100
ARMS_Getxo_G2_190624_191016_MF500_DMSO,Spain,Getxo,G2,2019-06-24,2019-10-16,ERR7127707,ERR7127696,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,43.3385,-3.01491,5,Motile,DMSO,500
ARMS_Getxo_G2_190624_191016_SF40_DMSO,Spain,Getxo,G2,2019-06-24,2019-10-16,ERR7127708,ERR7127697,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,43.3385,-3.01491,5,Sessile,DMSO,40
ARMS_Getxo_G2_200624_201103_MF100_DMSO,Spain,Getxo,G2,2020-06-24,2020-11-03,ERR7127679,ERR7127678,ERR7127680,ERR7125534,ERR7125533,ERR7125535,CC BY,43.3385,-3.01491,5,Motile,DMSO,100
ARMS_Getxo_G2_200624_201103_SF40_DMSO,Spain,Getxo,G2,2020-06-24,2020-11-03,ERR7127682,ERR7127681,ERR7127683,ERR7125534,ERR7125533,ERR7125535,CC BY,43.3385,-3.01491,5,Sessile,DMSO,40
ARMS_Getxo_G3_190624_191016_MF100_DMSO,Spain,Getxo,G3,2019-06-24,2019-10-16,ERR7127709,ERR7127698,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,43.33843,-3.01483,5,Motile,DMSO,100
ARMS_Getxo_G3_190624_191016_MF500_DMSO,Spain,Getxo,G3,2019-06-24,2019-10-16,ERR7127710,ERR7127699,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,43.33843,-3.01483,5,Motile,DMSO,500
ARMS_Getxo_G3_190624_191016_SF40_DMSO,spain,Getxo,G3,2019-06-24,2019-10-16,ERR7127711,ERR7127700,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,43.33843,-3.01483,5,Sessile,DMSO,40
ARMS_Getxo_G3_200624_201103_MF100_DMSO,Spain,Getxo,G3,2020-06-24,2020-11-03,ERR7127685,ERR7127684,ERR7127686,ERR7125534,ERR7125533,ERR7125535,CC BY,43.33843,-3.01483,5,Motile,DMSO,100
