Sample_ID,Country,Observatory_ID,ARMS_ID,Deploy_Date,Collect_Date,gene_COI,gene_18S,gene_ITS,negativeControl_gene_COI,negativeControl_gene_18S,negativeControl_gene_ITS,AccessRights,latitude,longitude,depth,Fraction,Preservative,Filter
ARMS_SWC_Preemraff2_200401_200715_MF500_DMSO,Sweden,SWC,Preemraff2,2020-04-01,2020-07-15,ERR4914158,ERR4914100,ERR4914216,ERR4914160,ERR4914102,ERR4914218,CC BY,58.35405,11.43394,3,Motile,DMSO,500
ARMS_SWC_Preemraff2_200401_200715_SF40_DMSO,Sweden,SWC,Preemraff2,2020-04-01,2020-07-15,ERR4914159,ERR4914101,ERR4914217,ERR4914160,ERR4914102,ERR4914218,CC BY,58.35405,11.43394,3,Sessile,DMSO,40
ARMS_SWC_Varberg1_200213_200603_MF100_DMSO,Sweden,SWC,Varberg1,2020-02-13,2020-06-03,ERR4914145,ERR4914087,ERR4914203,ERR4914160,ERR4914102,ERR4914218,CC BY,57.1133741,12.2299832,2,Motile,DMSO,100
ARMS_SWC_Varberg1_200213_200603_MF500_DMSO,Sweden,SWC,Varberg1,2020-02-13,2020-06-03,ERR4914146,ERR4914088,ERR4914204,ERR4914160,ERR4914102,ERR4914218,CC BY,57.1133741,12.2299832,2,Motile,DMSO,500
ARMS_SWC_Varberg1_200213_200603_SF40_DMSO,Sweden,SWC,Varberg1,2020-02-13,2020-06-03,ERR4914147,ERR4914089,ERR4914205,ERR4914160,ERR4914102,ERR4914218,CC BY,57.1133741,12.2299832,2,Sessile,DMSO,40
ARMS_SWC_Varberg2_200213_200603_MF100_DMSO,Sweden,SWC,Varberg2,2020-02-13,2020-06-03,ERR4914148,ERR4914090,ERR4914206,ERR4914160,ERR4914102,ERR4914218,CC BY,57.1126278,12.2302732,2,Motile,DMSO,100
ARMS_SWC_Varberg2_200213_200603_MF500_DMSO,Sweden,SWC,Varberg2,2020-02-13,2020-06-03,ERR4914149,ERR4914091,ERR4914207,ERR4914160,ERR4914102,ERR4914218,CC BY,57.1126278,12.2302732,2,Motile,DMSO,500
ARMS_SWC_Varberg2_200213_200603_SF40_DMSO,Sweden,SWC,Varberg2,2020-02-13,2020-06-03,ERR4914150,ERR4914092,ERR4914208,ERR4914160,ERR4914102,ERR4914218,CC BY,57.1126278,12.2302732,2,Sessile,DMSO,40
ARMS_SWC_Varberg3_200213_200603_MF100_DMSO,Sweden,SWC,Varberg3,2020-02-13,2020-06-03,ERR4914151,ERR4914093,ERR4914209,ERR4914160,ERR4914102,ERR4914218,CC BY,57.1107004,12.2439775,2,Motile,DMSO,100
ARMS_SWC_Varberg3_200213_200603_MF500_DMSO,Sweden,SWC,Varberg3,2020-02-13,2020-06-03,ERR4914152,ERR4914094,ERR4914210,ERR4914160,ERR4914102,ERR4914218,CC BY,57.1107004,12.2439775,2,Motile,DMSO,500
ARMS_SWC_Varberg3_200213_200603_SF40_DMSO,Sweden,SWC,Varberg3,2020-02-13,2020-06-03,ERR4914153,ERR4914095,ERR4914211,ERR4914160,ERR4914102,ERR4914218,CC BY,57.1107004,12.2439775,2,Sessile,DMSO,40
ARMS_TZS_Angbat_180711_181106_MF100_EtOH,Finland,TZS,Angbat,2018-07-11,2018-11-06,ERR7125522,ERR7125518,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,59.841505,23.248879,4,Motile,EtOH,100
ARMS_TZS_Angbat_180711_181106_MF500_EtOH,Finland,TZS,Angbat,2018-07-11,2018-11-06,ERR4018733,ERR4605225,ERR4018731,ERR4018737,ERR4605902,ERR4018475,CC BY,59.841505,23.248879,4,Motile,EtOH,500
ARMS_TZS_Angbat_180711_181106_SF48_EtOH,Finland,TZS,Angbat,2018-07-11,2018-11-06,ERR7125523,ERR7125519,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,59.841505,23.248879,4,Sessile,EtOH,48
ARMS_TZS_Angbat_200608_201117_MF100_EtOH,Finland,TZS,Angbat,2020-06-08,2020-11-17,ERR7125501,ERR7125500,ERR7125502,ERR7125534,ERR7125533,ERR7125535,CC BY,59.841505,23.248879,4,Motile,EtOH,100
ARMS_TZS_Angbat_200608_201117_MF500_EtOH,Finland,TZS,Angbat,2020-06-08,2020-11-17,ERR7125504,ERR7125503,ERR7125505,ERR7125534,ERR7125533,ERR7125535,CC BY,59.841505,23.248879,4,Motile,EtOH,500
ARMS_TZS_Angbat_200608_201117_SF40_EtOH,Finland,TZS,Angbat,2020-06-08,2020-11-17,ERR7125507,ERR7125506,ERR7125508,ERR7125534,ERR7125533,ERR7125535,CC BY,59.841505,23.248879,4,Sessile,EtOH,40
ARMS_TZS_Kummelkobben_200608_201120_MF100_EtOH,Finland,TZS,Kummelkobben,2020-06-08,2020-11-20,ERR7125510,ERR7125509,ERR7125511,ERR7125534,ERR7125533,ERR7125535,CC BY,59.86442,23.265084,6,Motile,EtOH,100
ARMS_TZS_Kummelkobben_200608_201120_MF500_EtOH,Finland,TZS,Kummelkobben,2020-06-08,2020-11-20,ERR7125513,ERR7125512,ERR7125514,ERR7125534,ERR7125533,ERR7125535,CC BY,59.86442,23.265084,6,Motile,EtOH,500
ARMS_TZS_Kummelkobben_200608_201120_SF40_EtOH,Finland,TZS,Kummelkobben,2020-06-08,2020-11-20,ERR7125516,ERR7125515,ERR7125517,ERR7125534,ERR7125533,ERR7125535,CC BY,59.86442,23.265084,6,Sessile,EtOH,40
ARMS_TZS_Spikarna_180711_181107_MF100_EtOH,Finland,TZS,Spikarna,2018-07-11,2018-11-07,ERR7125524,ERR7125520,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,59.81094,23.206216,3,Motile,EtOH,100
ARMS_TZS_Spikarna_180711_181107_MF500_EtOH,Finland,TZS,Spikarna,2018-07-11,2018-11-07,ERR4018732,ERR4605224,ERR4018730,ERR4018737,ERR4605902,ERR4018475,CC BY,59.81094,23.206216,3,Motile,EtOH,500
ARMS_TZS_Spikarna_180711_181107_SF48_EtOH,Finland,TZS,Spikarna,2018-07-11,2018-11-07,ERR7125525,ERR7125521,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,59.81094,23.206216,3,Sessile,EtOH,48
ARMS_Vigo_TorallaA_180607_180924_MF100_EtOH,Spain,Vigo,TorallaA,2018-06-07,2018-09-24,ERR7127712,ERR7127701,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,42.233333,-8.783333,12,Motile,EtOH,100
ARMS_Vigo_TorallaA_180607_180924_MF500_EtOH,Spain,Vigo,TorallaA,2018-06-07,2018-09-24,ERR7127713,ERR7127702,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,42.233333,-8.783333,12,Motile,EtOH,500
ARMS_Vigo_TorallaA_180607_180924_SF40_EtOH,Spain,Vigo,TorallaA,2018-06-07,2018-09-24,ERR4018703,ERR4605223,ERR4018702,ERR4018737,ERR4605902,ERR4018475,CC BY,42.233333,-8.783333,12,Sessile,EtOH,40
ARMS_Vigo_TorallaA_190625_191014_MF100_DMSO,Spain,Vigo,TorallaA,2019-06-25,2019-10-14,ERR4018716,ERR4018704,ERR4018710,ERR4018471,ERR4018472,ERR4018473,CC BY,42.233333,-8.783333,12,Motile,DMSO,100
ARMS_Vigo_TorallaA_190625_191014_MF500_DMSO,Spain,Vigo,TorallaA,2019-06-25,2019-10-14,ERR4018717,ERR4018705,ERR4018711,ERR4018471,ERR4018472,ERR4018473,CC BY,42.233333,-8.783333,12,Motile,DMSO,500
ARMS_Vigo_TorallaA_190625_191014_SF40_DMSO,Spain,Vigo,TorallaA,2019-06-25,2019-10-14,ERR7127691,ERR7127690,ERR7127692,ERR7125534,ERR7125533,ERR7125535,CC BY,42.233333,-8.783333,12,Sessile,DMSO,40
ARMS_Vigo_TorallaB_190625_191014_MF100_DMSO,Spain,Vigo,TorallaB,2019-06-25,2019-10-14,ERR4018718,ERR4018706,ERR4018712,ERR4018471,ERR4018472,ERR4018473,CC BY,42.233333,-8.783333,12,Motile,DMSO,100
ARMS_Vigo_TorallaB_190625_191014_MF500_DMSO,Spain,Vigo,TorallaB,2019-06-25,2019-10-14,ERR4018719,ERR4018707,ERR4018713,ERR4018471,ERR4018472,ERR4018473,CC BY,42.233333,-8.783333,12,Motile,DMSO,500
ARMS_Vigo_TorallaB_190625_191014_SF40_DMSO,Spain,Vigo,TorallaB,2019-06-25,2019-10-14,ERR7127714,ERR7127703,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,42.233333,-8.783333,12,Sessile,DMSO,40
ARMS_Vigo_TorallaC_190625_191014_MF100_DMSO,Spain,Vigo,TorallaC,2019-06-25,2019-10-14,ERR4018720,ERR4018708,ERR4018714,ERR4018471,ERR4018472,ERR4018473,CC BY,42.233333,-8.783333,12,Motile,DMSO,100
ARMS_Vigo_TorallaC_190625_191014_MF500_DMSO,Spain,Vigo,TorallaC,2019-06-25,2019-10-14,ERR4018721,ERR4018709,ERR4018715,ERR4018471,ERR4018472,ERR4018473,CC BY,42.233333,-8.783333,12,Motile,DMSO,500
ARMS_Vigo_TorallaC_190625_191014_SF40_DMSO,Spain,Vigo,TorallaC,2019-06-25,2019-10-14,ERR9632095,ERR9632080,no longer provided,ERR9632065,ERR9632062,no longer provided,CC BY,42.233333,-8.783333,12,Sessile,DMSO,40
