EventID,MaterialSampleID,OriginalSampleID,Gene_COI,GeneNegControl_COI,GeneITS,GeneNegControl_ITS,Gene18S,GeneNegControl_18S
ARMS_Getxo_G1_20200624_20201103,ARMS_Getxo_G1_20200624_20201103_MF500,Getxo-G1-MF500-A-B-C-DMSO,ERR7127670,ERR7125534,ERR7127671,ERR7125535,ERR7127669,ERR7125533
ARMS_Getxo_G1_20200624_20201103,ARMS_Getxo_G1_20200624_20201103_SF40,Getxo-G1-SF40-A-B-C-DMSO,ERR7127673,ERR7125534,ERR7127674,ERR7125535,ERR7127672,ERR7125533
ARMS_Getxo_G2_20190624_20191016,ARMS_Getxo_G2_20190624_20191016_MF100,Getxo-G2-MF100-A-DMSO,ERR7127676,ERR7125534,ERR7127677,ERR7125535,ERR7127675,ERR7125533
ARMS_Getxo_G2_20190624_20191016,ARMS_Getxo_G2_20190624_20191016_MF500,Getxo-G2-MF500-A-DMSO,ERR7127707,ERR7125582,discontinued,discontinued,ERR7127696,ERR7125581
ARMS_Getxo_G2_20190624_20191016,ARMS_Getxo_G2_20190624_20191016_SF40,Getxo-G2-SF40-A-DMSO,ERR7127708,ERR7125582,discontinued,discontinued,ERR7127697,ERR7125581
ARMS_Getxo_G2_20200624_20201103,ARMS_Getxo_G2_20200624_20201103_MF100,Getxo-G2-MF100-A-B-C-DMSO,ERR7127679,ERR7125534,ERR7127680,ERR7125535,ERR7127678,ERR7125533
ARMS_Getxo_G2_20200624_20201103,ARMS_Getxo_G2_20200624_20201103_SF40,Getxo-G2-SF40-A-B-C-DMSO,ERR7127682,ERR7125534,ERR7127683,ERR7125535,ERR7127681,ERR7125533
ARMS_Getxo_G3_20190624_20191016,ARMS_Getxo_G3_20190624_20191016_MF100,Getxo-G3-MF100-A-DMSO,ERR7127709,ERR7125582,discontinued,discontinued,ERR7127698,ERR7125581
ARMS_Getxo_G3_20190624_20191016,ARMS_Getxo_G3_20190624_20191016_MF500,Getxo-G3-MF500-A-DMSO,ERR7127710,ERR7125582,discontinued,discontinued,ERR7127699,ERR7125581
ARMS_Getxo_G3_20190624_20191016,ARMS_Getxo_G3_20190624_20191016_SF40,Getxo-G3-SF40-A-DMSO,ERR7127711,ERR7125582,discontinued,discontinued,ERR7127700,ERR7125581
ARMS_Getxo_G3_20200624_20201103,ARMS_Getxo_G3_20200624_20201103_MF100,Getxo-G3-MF100-A-B-C-DMSO,ERR7127685,ERR7125534,ERR7127686,ERR7125535,ERR7127684,ERR7125533
ARMS_Getxo_G3_20200624_20201103,ARMS_Getxo_G3_20200624_20201103_SF40,Getxo-G3-SF40-A-B-C-DMSO,ERR7127688,ERR7125534,ERR7127689,ERR7125535,ERR7127687,ERR7125533
ARMS_GulfOfPiran_Loc1_20180815_20181118,ARMS_GulfOfPiran_Loc1_20180815_20181118_MF100_DMSO,DESS MOB2,ERR7127578,ERR7125582,discontinued,discontinued,ERR7127574,ERR7125581
ARMS_GulfOfPiran_Loc1_20180815_20181118,ARMS_GulfOfPiran_Loc1_20180815_20181118_MF100_ETOH,etOH MOB2,ERR7127579,ERR7125582,discontinued,discontinued,ERR7127575,ERR7125581
ARMS_GulfOfPiran_Loc1_20180815_20181118,ARMS_GulfOfPiran_Loc1_20180815_20181118_MF500_DMSO,DESS MOB4,ERR4018549,ERR3460471,ERR4018547,ERR4018475,ERR4605229,ERR4605902
ARMS_GulfOfPiran_Loc1_20180815_20181118,ARMS_GulfOfPiran_Loc1_20180815_20181118_MF500_ETOH,etOH MOB4,N/A (no successful sequencing),N/A (no successful sequencing),ERR4018548,ERR4018475,ERR4605230,ERR4605902
ARMS_GulfOfPiran_Loc1_20180815_20181118,ARMS_GulfOfPiran_Loc1_20180815_20181118_SF_DMSO,DESS SES,ERR7127580,ERR7125582,discontinued,discontinued,ERR7127576,ERR7125581
ARMS_GulfOfPiran_Loc1_20180815_20181118,ARMS_GulfOfPiran_Loc1_20180815_20181118_SF_ETOH,etOH SES,ERR7127581,ERR7125582,discontinued,discontinued,ERR7127577,ERR7125581
ARMS_Koster_VH1_20180418_20190527,ARMS_Koster_VH1_20180418_20190527_MF100_DMSO,2018_Koster_VH1_MF100_DMSO,ERR4018467,ERR4018471,ERR4018462,ERR4018473,ERR4018457,ERR4018472
ARMS_Koster_VH1_20180418_20190527,ARMS_Koster_VH1_20180418_20190527_MF500_DMSO,2018_Koster_VH1_MF500_DMSO,ERR4018466,ERR4018471,ERR4018461,ERR4018473,ERR4018456,ERR4018472
ARMS_Koster_VH1_20180418_20190527,ARMS_Koster_VH1_20180418_20190527_SF40_DMSO,2018_Koster_VH1_SF40_DMSO,ERR4018468,ERR4018471,ERR4018463,ERR4018473,ERR4018458,ERR4018472
ARMS_Koster_VH1_20190527_20200716,ARMS_Koster_VH1_20190527_20200716_MF100,ARMS_KOSTER_VH1_190527-200716_ MF100,ERR4914103,ERR4914160,ERR4914161,ERR4914218,ERR4914045,ERR4914102
ARMS_Koster_VH1_20190527_20200716,ARMS_Koster_VH1_20190527_20200716_MF500,ARMS_KOSTER_VH1_190527-200716_ MF500,ERR4914104,ERR4914160,ERR4914162,ERR4914218,ERR4914046,ERR4914102
ARMS_Koster_VH1_20190527_20200716,ARMS_Koster_VH1_20190527_20200716_SF40,ARMS_KOSTER_VH1_190527-200716_SF40_A,ERR4914105,ERR4914160,ERR4914163,ERR4914218,ERR4914047,ERR4914102
ARMS_Koster_VH1_20200716_20210608,ARMS_Koster_VH1_20200716_20210608_MF100,ARMS_Koster_VH1_20200716_20210608_MF100_A,,,,,,
ARMS_Koster_VH1_20200716_20210608,ARMS_Koster_VH1_20200716_20210608_MF500,ARMS_Koster_VH1_20200716_20210608_MF500_A,,,,,,
ARMS_Koster_VH1_20200716_20210608,ARMS_Koster_VH1_20200716_20210608_SF40,ARMS_Koster_VH1_20200716_20210608_SF40_A,,,,,,
ARMS_Koster_VH2_20180418_20180906,ARMS_Koster_VH2_20180418_20180906_MF100_ETOH,VH2-MF100-EtOH,ERR4018452,ERR3460471,ERR4018445,ERR4018475,ERR4605233,ERR4605902
ARMS_Koster_VH2_20180418_20180906,ARMS_Koster_VH2_20180418_20180906_MF500_ETOH,VH2-MF500-EtOH,ERR4018453,ERR3460471,ERR4018446,ERR4018475,ERR4605234,ERR4605902
ARMS_Koster_VH2_20180418_20180906,ARMS_Koster_VH2_20180418_20180906_PS90_ETOH,VH2-PS90-EtOH,N/A (no successful amplification),N/A (no successful amplification),ERR4018449,ERR4018475,ERR4605237,ERR4605902
ARMS_Koster_VH2_20180418_20180906,ARMS_Koster_VH2_20180418_20180906_SED100_ETOH,VH2-SS100-DMSO,ERR4018454,ERR3460471,ERR4018447,ERR4018475,ERR4605235,ERR4605902
ARMS_Koster_VH2_20180418_20180906,ARMS_Koster_VH2_20180418_20180906_SED500_DMSO,VH2-SS500-DMSO,ERR4018455,ERR3460471,ERR4018448,ERR4018475,ERR4605236,ERR4605902
ARMS_Koster_VH2_20180418_20180906,ARMS_Koster_VH2_20180418_20180906_SF40_DMSO,VH2-SF-DMSO Sessile,ERR4018451,ERR3460471,ERR4018444,ERR4018475,ERR4605232,ERR4605902
ARMS_Koster_VH2_20180418_20180906,ARMS_Koster_VH2_20180418_20180906_SF40_ETOH,VH2-SF-EtOH Sessile,ERR4018450,ERR3460471,ERR4018443,ERR4018475,ERR4605231,ERR4605902
ARMS_Koster_VH2_20190527_20200716,ARMS_Koster_VH2_20190527_20200716_MF100,ARMS_KOSTER_VH2_190527-200716_ MF100,ERR4914109,ERR4914160,ERR4914167,ERR4914218,ERR4914051,ERR4914102
ARMS_Koster_VH2_20190527_20200716,ARMS_Koster_VH2_20190527_20200716_MF500,ARMS_KOSTER_VH2_190527-200716_ MF500,ERR4914110,ERR4914160,ERR4914168,ERR4914218,ERR4914052,ERR4914102
ARMS_Koster_VH2_20190527_20200716,ARMS_Koster_VH2_20190527_20200716_SF40,ARMS_KOSTER_VH2_190527-200716_SF40_A,ERR4914111,ERR4914160,ERR4914169,ERR4914218,ERR4914053,ERR4914102
ARMS_Koster_VH2_20200716_20210608,ARMS_Koster_VH2_20200716_20210608_MF100,ARMS_Koster_VH2_20200716_20210608_MF100_?,,,,,,
ARMS_Koster_VH2_20200716_20210608,ARMS_Koster_VH2_20200716_20210608_MF500,ARMS_Koster_VH2_20200716_20210608_MF500_A,,,,,,
ARMS_Koster_VH2_20200716_20210608,ARMS_Koster_VH2_20200716_20210608_SF40,ARMS_Koster_VH2_20200716_20210608_SF40_A,,,,,,
ARMS_Koster_VH3_20180418_20190527,ARMS_Koster_VH3_20180418_20190527_MF100_DMSO,2018_Koster_VH3_MF100_DMSO,ERR4018470,ERR4018471,ERR4018465,ERR4018473,ERR4018460,ERR4018472
ARMS_Koster_VH3_20180418_20190527,ARMS_Koster_VH3_20180418_20190527_MF500_DMSO,2018_Koster_VH3_MF500_DMSO,ERR4018469,ERR4018471,ERR4018464,ERR4018473,ERR4018459,ERR4018472
ARMS_Koster_VH3_20180418_20190527,ARMS_Koster_VH3_20180418_20190527_SF40_DMSO,2018_Koster_VH3-SF40-DMSO,ERR7127610,ERR7125582,discontinued,discontinued,ERR7127609,ERR7125581
ARMS_Koster_VH3_20190527_20200716,ARMS_Koster_VH3_20190527_20200716_MF100,ARMS_KOSTER_VH3_190527-200716_ MF100,ERR4914106,ERR4914160,ERR4914164,ERR4914218,ERR4914048,ERR4914102
ARMS_Koster_VH3_20190527_20200716,ARMS_Koster_VH3_20190527_20200716_MF500,ARMS_KOSTER_VH3_190527-200716_ MF500,ERR4914107,ERR4914160,ERR4914165,ERR4914218,ERR4914049,ERR4914102
ARMS_Koster_VH3_20190527_20200716,ARMS_Koster_VH3_20190527_20200716_SF40,ARMS_KOSTER_VH3_190527-200716_SF40_A,ERR4914108,ERR4914160,ERR4914166,ERR4914218,ERR4914050,ERR4914102
ARMS_Koster_VH3_20200716_20210608,ARMS_Koster_VH3_20200716_20210608_MF100,ARMS_Koster_VH3_20200716_20210608_MF100_A,,,,,,
ARMS_Koster_VH3_20200716_20210608,ARMS_Koster_VH3_20200716_20210608_MF500,ARMS_Koster_VH3_20200716_20210608_MF500_A,,,,,,
ARMS_Koster_VH3_20200716_20210608,ARMS_Koster_VH3_20200716_20210608_SF40,ARMS_Koster_VH3_20200716_20210608_SF40_A,,,,,,
ARMS_Laeso_Bluereef1_20190819_20200811,ARMS_Laeso_Bluereef1_20190819_20200811_MF100,ARMS_Laesoe1_190819-200811_MF100_A,ERR7127583,ERR7125534,ERR7127584,ERR7125535,ERR7127582,ERR7125533
ARMS_Laeso_Bluereef1_20190819_20200811,ARMS_Laeso_Bluereef1_20190819_20200811_MF500,ARMS_Laesoe1_190819-200811_MF500_A,ERR7127586,ERR7125534,ERR7127587,ERR7125535,ERR7127585,ERR7125533
ARMS_Laeso_Bluereef1_20190819_20200811,ARMS_Laeso_Bluereef1_20190819_20200811_SF40,ARMS_Laesoe1_190819-200811_SF40_A,ERR7127589,ERR7125534,ERR7127590,ERR7125535,ERR7127588,ERR7125533
ARMS_Laeso_Bluereef2_20190819_20200811,ARMS_Laeso_Bluereef2_20190819_20200811_MF100,ARMS_Laesoe2_190819-200811_MF100_A,ERR7127592,ERR7125534,ERR7127593,ERR7125535,ERR7127591,ERR7125533
ARMS_Laeso_Bluereef2_20190819_20200811,ARMS_Laeso_Bluereef2_20190819_20200811_MF500,ARMS_Laesoe2_190819-200811_MF500_A,ERR7127606,ERR7125582,discontinued,discontinued,ERR7127607,ERR7125581
ARMS_Laeso_Bluereef2_20190819_20200811,ARMS_Laeso_Bluereef2_20190819_20200811_SF40,ARMS_Laesoe2_190819-200811_SF40_A,ERR7127595,ERR7125534,ERR7127596,ERR7125535,ERR7127594,ERR7125533
ARMS_Laeso_Bluereef3_20190819_20200811,ARMS_Laeso_Bluereef3_20190819_20200811_MF100,ARMS_Laesoe3_190819-200811_MF100_A,ERR7127598,ERR7125534,ERR7127599,ERR7125535,ERR7127597,ERR7125533
ARMS_Laeso_Bluereef3_20190819_20200811,ARMS_Laeso_Bluereef3_20190819_20200811_MF500,ARMS_Laesoe3_190819-200811_MF500_A,ERR7127601,ERR7125534,ERR7127602,ERR7125535,ERR7127600,ERR7125533
ARMS_Laeso_Bluereef3_20190819_20200811,ARMS_Laeso_Bluereef3_20190819_20200811_SF40,ARMS_Laesoe3_190819-200811_SF40_A,ERR7127604,ERR7125534,ERR7127605,ERR7125535,ERR7127603,ERR7125533
ARMS_Limfjord_Green33_20190618_20191029,ARMS_Limfjord_Green33_20190618_20191029_MF100,2019_Limfjord_Green33_MF100_DMSO,ERR4018499,ERR4018471,ERR4018490,ERR4018473,ERR4018481,ERR4018472
ARMS_Limfjord_Green33_20190618_20191029,ARMS_Limfjord_Green33_20190618_20191029_MF500,2019_Limfjord_Green33_MF500_DMSO,ERR4018497,ERR4018471,ERR4018488,ERR4018473,ERR4018479,ERR4018472
ARMS_Limfjord_Green33_20190618_20191029,ARMS_Limfjord_Green33_20190618_20191029_SF40,2019_Limfjord_Green33_SF_DMSO,ERR4018498,ERR4018471,ERR4018489,ERR4018473,ERR4018480,ERR4018472
ARMS_Limfjord_Limfjord1_20191029_20201110,ARMS_Limfjord_Limfjord1_20191029_20201110_MF100,ARMS_Limfjord1_191029-201110_MF100_?,ERR9632096,ERR9632065,discontinued,discontinued,ERR9632081,ERR9632062
ARMS_Limfjord_Limfjord1_20191029_20201110,ARMS_Limfjord_Limfjord1_20191029_20201110_MF500,ARMS_Limfjord1_191029-201110_MF500_?,ERR9632097,ERR9632065,discontinued,discontinued,ERR9632082,ERR9632062
ARMS_Limfjord_Limfjord1_20191029_20201110,ARMS_Limfjord_Limfjord1_20191029_20201110_SF40,ARMS_Limfjord1_191029-201110_SF40_?,ERR9632098,ERR9632065,discontinued,discontinued,ERR9632083,ERR9632062
ARMS_Limfjord_Limfjord1_20201110_20211115,ARMS_Limfjord_Limfjord1_20201110_20211115_MF100,ARMS_Limfjord1_201110-211115_MF100_A,,,,,,
ARMS_Limfjord_Limfjord1_20201110_20211115,ARMS_Limfjord_Limfjord1_20201110_20211115_MF500,ARMS_ Limfjord1_201110-211115_MF500_A,,,,,,
ARMS_Limfjord_Limfjord1_20201110_20211115,ARMS_Limfjord_Limfjord1_20201110_20211115_SF40,ARMS_ Limfjord1_201110-211115_SF40_A,,,,,,
ARMS_Limfjord_Limfjord2_20201110_20211115,ARMS_Limfjord_Limfjord2_20201110_20211115_MF100,ARMS_Limfjord2_201110-211115_MF100_A,,,,,,
ARMS_Limfjord_Limfjord2_20201110_20211115,ARMS_Limfjord_Limfjord2_20201110_20211115_MF500,ARMS_ Limfjord2_201110-211115_MF500_A,,,,,,
ARMS_Limfjord_Limfjord2_20201110_20211115,ARMS_Limfjord_Limfjord2_20201110_20211115_SF40,ARMS_ Limfjord2_201110-211115_SF40_A,,,,,,
ARMS_Limfjord_Limfjord3_20191029_20201110,ARMS_Limfjord_Limfjord3_20191029_20201110_MF100,ARMS_Limfjord3_191029-201110_MF100_?,ERR9632099,ERR9632065,discontinued,discontinued,ERR9632084,ERR9632062
ARMS_Limfjord_Limfjord3_20191029_20201110,ARMS_Limfjord_Limfjord3_20191029_20201110_MF500,ARMS_Limfjord3_191029-201110_MF500_?,ERR9632100,ERR9632065,discontinued,discontinued,ERR9632085,ERR9632062
ARMS_Limfjord_Limfjord3_20191029_20201110,ARMS_Limfjord_Limfjord3_20191029_20201110_SF40,ARMS_Limfjord3_191029-201110_SF40_?,ERR9632101,ERR9632065,discontinued,discontinued,ERR9632086,ERR9632062
ARMS_Limfjord_Limfjord3_20201110_20211115,ARMS_Limfjord_Limfjord3_20201110_20211115_MF100,ARMS_Limfjord3_201110-211115_MF100_A,,,,,,
ARMS_Limfjord_Limfjord3_20201110_20211115,ARMS_Limfjord_Limfjord3_20201110_20211115_MF500,ARMS_ Limfjord3_201110-211115_MF500_A,,,,,,
ARMS_Limfjord_Limfjord3_20201110_20211115,ARMS_Limfjord_Limfjord3_20201110_20211115_SF40,ARMS_ Limfjord3_201110-211115_SF40_A,,,,,,
ARMS_Limfjord_Red2_20190618_20191029,ARMS_Limfjord_Red2_20190618_20191029_MF100,2019_Limfjord_Red2_MF100_DMSO,ERR4018502,ERR4018471,ERR4018493,ERR4018473,ERR4018484,ERR4018472
ARMS_Limfjord_Red2_20190618_20191029,ARMS_Limfjord_Red2_20190618_20191029_MF500,2019_Limfjord_Red2_MF500_DMSO,ERR4018500,ERR4018471,ERR4018491,ERR4018473,ERR4018482,ERR4018472
ARMS_Limfjord_Red2_20190618_20191029,ARMS_Limfjord_Red2_20190618_20191029_SF40,2019_Limfjord_Red2_SF_DMSO,ERR4018501,ERR4018471,ERR4018492,ERR4018473,ERR4018483,ERR4018472
ARMS_Limfjord_Yellow8_20190618_20191029,ARMS_Limfjord_Yellow8_20190618_20191029_MF100,2019_Limfjord_Yellow8_MF100_DMSO,ERR4018496,ERR4018471,ERR4018487,ERR4018473,ERR4018478,ERR4018472
ARMS_Limfjord_Yellow8_20190618_20191029,ARMS_Limfjord_Yellow8_20190618_20191029_MF500,2019_Limfjord_Yellow8_MF500_DMSO,ERR4018494,ERR4018471,ERR4018485,ERR4018473,ERR4018476,ERR4018472
ARMS_Limfjord_Yellow8_20190618_20191029,ARMS_Limfjord_Yellow8_20190618_20191029_SF40,2019_Limfjord_Yellow8_SF_DMSO,ERR4018495,ERR4018471,ERR4018486,ERR4018473,ERR4018477,ERR4018472
ARMS_Plymouth_MBA1_20180701_20181001,ARMS_Plymouth_MBA1_20180701_20181001_MF100_DMSO,MBA_ARMS1-MF100-DMSO,ERR7125591,ERR7125582,discontinued,discontinued,ERR7125583,ERR7125581
ARMS_Plymouth_MBA1_20180701_20181001,ARMS_Plymouth_MBA1_20180701_20181001_MF100_ETOH,MBA_ARMS1-MF100-ETOH,ERR7125592,ERR7125582,discontinued,discontinued,ERR7125584,ERR7125581
ARMS_Plymouth_MBA1_20180701_20181001,ARMS_Plymouth_MBA1_20180701_20181001_MF500_DMSO,MBA_ARMS1-MF500-DMSO,ERR7125593,ERR7125582,discontinued,discontinued,ERR7125585,ERR7125581
ARMS_Plymouth_MBA1_20180701_20181001,ARMS_Plymouth_MBA1_20180701_20181001_MF500_ETOH,MBA_ARMS1-MF500-ETOH,ERR7125594,ERR7125582,discontinued,discontinued,ERR7125586,ERR7125581
ARMS_Plymouth_MBA1_20180701_20181001,ARMS_Plymouth_MBA1_20180701_20181001_SF40_DMSO,MBA_ARMS1-SF-DMSO,ERR7125595,ERR7125582,discontinued,discontinued,ERR7125587,ERR7125581
ARMS_Plymouth_MBA1_20180701_20181001,ARMS_Plymouth_MBA1_20180701_20181001_SF40_ETOH,MBA_ARMS1-SF-ETOH,ERR7125596,ERR7125582,discontinued,discontinued,ERR7125588,ERR7125581
ARMS_Plymouth_MBA1A_20190716_20190916,ARMS_Plymouth_MBA1A_20190716_20190916_MF100,2019_MBA_ARMS1A_MF100_DMSO,ERR4018670,ERR4018471,ERR4018661,ERR4018473,ERR4018652,ERR4018472
ARMS_Plymouth_MBA1A_20190716_20190916,ARMS_Plymouth_MBA1A_20190716_20190916_MF500,2019_MBA_ARMS1A_MF500_DMSO,ERR4018669,ERR4018471,ERR4018660,ERR4018473,ERR4018651,ERR4018472
ARMS_Plymouth_MBA1A_20190716_20190916,ARMS_Plymouth_MBA1A_20190716_20190916_SF40,2019_MBA_ARMS1A_SF_DMSO,ERR4018671,ERR4018471,ERR4018662,ERR4018473,ERR4018653,ERR4018472
ARMS_Plymouth_MBA1A_20200717_20200921,ARMS_Plymouth_MBA1A_20200717_20200921_MF100,ARMS1A_200717-200921_MF100_DMSO,,,,,,
ARMS_Plymouth_MBA1A_20200717_20200921,ARMS_Plymouth_MBA1A_20200717_20200921_MF500,ARMS1A_200717-200921_MF500_DMSO,,,,,,
ARMS_Plymouth_MBA1A_20200717_20200921,ARMS_Plymouth_MBA1A_20200717_20200921_SF,ARMS1A_200717-200921_SF_DMSO,,,,,,
ARMS_Plymouth_MBA1B_20190716_20190918,ARMS_Plymouth_MBA1B_20190716_20190918_MF100,2019_MBA_ARMS1B_MF100_DMSO,ERR4018673,ERR4018471,ERR4018664,ERR4018473,ERR4018655,ERR4018472
ARMS_Plymouth_MBA1B_20190716_20190918,ARMS_Plymouth_MBA1B_20190716_20190918_MF500,2019_MBA_ARMS1B_MF500_DMSO,ERR4018672,ERR4018471,ERR4018663,ERR4018473,ERR4018654,ERR4018472
ARMS_Plymouth_MBA1B_20190716_20190918,ARMS_Plymouth_MBA1B_20190716_20190918_SF40,2019_MBA_ARMS1B_SF_DMSO,ERR4018674,ERR4018471,ERR4018665,ERR4018473,ERR4018656,ERR4018472
ARMS_Plymouth_MBA1B_20200717_20200922,ARMS_Plymouth_MBA1B_20200717_20200922_MF100,ARMS1B_200717-200922_MF100_DMSO,,,,,,
ARMS_Plymouth_MBA1B_20200717_20200922,ARMS_Plymouth_MBA1B_20200717_20200922_MF500,ARMS1B_200717-200922_MF500_DMSO,,,,,,
ARMS_Plymouth_MBA1B_20200717_20200922,ARMS_Plymouth_MBA1B_20200717_20200922_SF,ARMS1B_200717-200922_SF_DMSO,,,,,,
ARMS_Plymouth_MBA1C_20190716_20190920,ARMS_Plymouth_MBA1C_20190716_20190920_MF100,2019_MBA_ARMS1C_MF100_DMSO,ERR4018676,ERR4018471,ERR4018667,ERR4018473,ERR4018658,ERR4018472
ARMS_Plymouth_MBA1C_20190716_20190920,ARMS_Plymouth_MBA1C_20190716_20190920_MF500,2019_MBA_ARMS1C_MF500_DMSO,ERR4018675,ERR4018471,ERR4018666,ERR4018473,ERR4018657,ERR4018472
ARMS_Plymouth_MBA1C_20190716_20190920,ARMS_Plymouth_MBA1C_20190716_20190920_SF40,2019_MBA_ARMS1C_SF_DMSO,ERR4018677,ERR4018471,ERR4018668,ERR4018473,ERR4018659,ERR4018472
ARMS_Plymouth_MBA1C_20200717_20200923,ARMS_Plymouth_MBA1C_20200717_20200923_MF100,ARMS1C_200717-200923_MF100_DMSO,,,,,,
ARMS_Plymouth_MBA1C_20200717_20200923,ARMS_Plymouth_MBA1C_20200717_20200923_MF500,ARMS1C_200717-200923_MF500_DMSO,,,,,,
ARMS_Plymouth_MBA1C_20200717_20200923,ARMS_Plymouth_MBA1C_20200717_20200923_SF,ARMS1C_200717-200923_SF_DMSO,,,,,,
ARMS_Plymouth_MBA2_20180701_20181001,ARMS_Plymouth_MBA2_20180701_20181001_MF100_DMSO,MBA_ARMS2-MF100-DMSO,N/A (no successful amplification),N/A (no successful amplification),ERR4018647,ERR4018475,ERR4605220,ERR4605902
ARMS_Plymouth_MBA2_20180701_20181001,ARMS_Plymouth_MBA2_20180701_20181001_MF100_ETOH,MBA_ARMS2-MF100-ETOH,N/A (no successful amplification),N/A (no successful amplification),ERR4018648,ERR4018475,ERR4605221,ERR4605902
ARMS_Plymouth_MBA2_20180701_20181001,ARMS_Plymouth_MBA2_20180701_20181001_MF500_ETOH,MBA_ARMS2-MF500-ETOH,ERR4018650,ERR4018737,ERR4018649,ERR4018475,ERR4605222,ERR4605902
ARMS_Plymouth_MBA2_20180701_20181001,ARMS_Plymouth_MBA2_20180701_20181001_SF40_DMSO,MBA_ARMS2-SF-DMSO,ERR7125597,ERR7125582,discontinued,discontinued,ERR7125589,ERR7125581
ARMS_Plymouth_MBA2_20180701_20181001,ARMS_Plymouth_MBA2_20180701_20181001_SF40_ETOH,MBA_ARMS2-SF-ETOH,ERR7125598,ERR7125582,discontinued,discontinued,ERR7125590,ERR7125581
ARMS_Ravenna_RavH1_20210422_20210722,ARMS_Ravenna_RavH1_20210422_20210722_MF100,ARMS_RAVH1_20210422-20210722_MF100_A,,,,,,
ARMS_Ravenna_RavH1_20210422_20210722,ARMS_Ravenna_RavH1_20210422_20210722_MF500,ARMS_RAVH1_20210422-20210722_MF500_A,,,,,,
ARMS_Ravenna_RavH1_20210422_20210722,ARMS_Ravenna_RavH1_20210422_20210722_SF40,ARMS_RAVH1_20210422-20210722_SF40_A,,,,,,
ARMS_Ravenna_RavH2_20210422_20210722,ARMS_Ravenna_RavH2_20210422_20210722_MF100,ARMS_RAVH2_20210422-20210722_MF100_A,,,,,,
ARMS_Ravenna_RavH2_20210422_20210722,ARMS_Ravenna_RavH2_20210422_20210722_MF500,ARMS_RAVH2_20210422-20210722_MF500_A,,,,,,
ARMS_Ravenna_RavH2_20210422_20210722,ARMS_Ravenna_RavH2_20210422_20210722_SF40,ARMS_RAVH2_20210422-20210722_SF40_A,,,,,,
ARMS_Ravenna_RavH3_20210422_20210722,ARMS_Ravenna_RavH3_20210422_20210722_MF100,ARMS_RAVH3_20210422-20210722_MF100_A,,,,,,
ARMS_Ravenna_RavH3_20210422_20210722,ARMS_Ravenna_RavH3_20210422_20210722_MF500,ARMS_RAVH3_20210422-20210722_MF500_A,,,,,,
ARMS_Ravenna_RavH3_20210422_20210722,ARMS_Ravenna_RavH3_20210422_20210722_SF40,ARMS_RAVH3_20210422-20210722_SF40_A,,,,,,
ARMS_Ravenna_RavM1_20210422_20210722,ARMS_Ravenna_RavM1_20210422_20210722_MF100,ARMS_RAVM1_20210422-20210722_MF100_A,,,,,,
ARMS_Ravenna_RavM1_20210422_20210722,ARMS_Ravenna_RavM1_20210422_20210722_MF500,ARMS_RAVM1_20210422-20210722_MF500_A,,,,,,
ARMS_Ravenna_RavM1_20210422_20210722,ARMS_Ravenna_RavM1_20210422_20210722_SF40,ARMS_RAVM1_20210422-20210722_SF40_A,,,,,,
ARMS_Ravenna_RavM2_20210422_20210722,ARMS_Ravenna_RavM2_20210422_20210722_MF100,ARMS_RAVM2_20210422-20210722_MF100_A,,,,,,
ARMS_Ravenna_RavM2_20210422_20210722,ARMS_Ravenna_RavM2_20210422_20210722_MF500,ARMS_RAVM2_20210422-20210722_MF500_A,,,,,,
ARMS_Ravenna_RavM2_20210422_20210722,ARMS_Ravenna_RavM2_20210422_20210722_SF40,ARMS_RAVM2_20210422-20210722_SF40_A,,,,,,
ARMS_Ravenna_RavM3_20210422_20210722,ARMS_Ravenna_RavM3_20210422_20210722_MF100,ARMS_RAVM3_20210422-20210722_MF100_A,,,,,,
ARMS_Ravenna_RavM3_20210422_20210722,ARMS_Ravenna_RavM3_20210422_20210722_MF500,ARMS_RAVM3_20210422-20210722_MF500_A,,,,,,
ARMS_Ravenna_RavM3_20210422_20210722,ARMS_Ravenna_RavM3_20210422_20210722_SF40,ARMS_RAVM3_20210422-20210722_SF40_A,,,,,,
ARMS_Roscoff_BasBloS1_20180711_20181025,ARMS_Roscoff_BasBloS1_20180711_20181025_MF100_DMSO,BasBlo_2018-MF100-DMSO_1,ERR7125631,ERR7125582,discontinued,discontinued,ERR7125618,ERR7125581
ARMS_Roscoff_BasBloS1_20180711_20181025,ARMS_Roscoff_BasBloS1_20180711_20181025_MF500_DMSO,BasBlo_2018-MF500-DMSO_1,ERR7125632,ERR7125582,discontinued,discontinued,ERR7125619,ERR7125581
ARMS_Roscoff_BasBloS1_20180711_20181025,ARMS_Roscoff_BasBloS1_20180711_20181025_SF40_DMSO,BasBlo_2018-SF-DMSO_1,ERR4018616,ERR3460471,ERR4018614,ERR4018475,ERR4605227,ERR4605902
ARMS_Roscoff_BasBloS1_20180711_20181025,ARMS_Roscoff_BasBloS1_20180711_20181025_SF40_DMSO,BasBlo_2018-SF-DMSO_2,ERR7125633,ERR7125582,discontinued,discontinued,ERR7125620,ERR7125581
ARMS_Roscoff_BasBloS1_20180711_20181025,ARMS_Roscoff_BasBloS1_20180711_20181025_SF40_ETOH,BasBlo_2018-SF-ETOH_1,ERR4018615,ERR3460471,ERR4018613,ERR4018475,ERR4605226,ERR4605902
