EventID,MaterialSampleID,OriginalSampleID,Gene_COI,GeneNegControl_COI,GeneITS,GeneNegControl_ITS,Gene18S,GeneNegControl_18S
ARMS_BelgiumCoast_AJJC86_20200506_20201012,ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100,ARMS_BelgiumCoast_JJ-C8-6_200506-201012_MF100_DMSO_A,ERR7125487,ERR7125534,ERR7125488,ERR7125535,ERR7125486,ERR7125533
ARMS_BelgiumCoast_AJJC86_20200506_20201012,ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF500,ARMS_BelgiumCoast_JJ-C8-6_200506-201012_MF500_DMSO_A,ERR7125490,ERR7125534,ERR7125491,ERR7125535,ERR7125489,ERR7125533
ARMS_BelgiumCoast_AJJCD78_20200506_20201012,ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF100,ARMS_BelgiumCoast_JJ-CD78_200506-201012_MF100_DMSO_A,ERR7125493,ERR7125534,ERR7125494,ERR7125535,ERR7125492,ERR7125533
ARMS_BelgiumCoast_AJJCD78_20200506_20201012,ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF500,ARMS_BelgiumCoast_JJ-CD78_200506-201012_MF500_DMSO_A,,,,,,
ARMS_BelgiumCoast_AJJCD78_20210225_20210819,ARMS_BelgiumCoast_AJJCD78_20210225_20210819_MF100,ARMS_BelgiumCoast_JJ-CD78_20210225-20210819_MF100_DMSO_A,,,,,,
ARMS_BelgiumCoast_AJJCD78_20210225_20210819,ARMS_BelgiumCoast_AJJCD78_20210225_20210819_MF500,ARMS_BelgiumCoast_JJ-CD78_20210225-20210819_MF500_DMSO_A,,,,,,
ARMS_BelgiumCoast_AJJCD78_20210225_20210819,ARMS_BelgiumCoast_AJJCD78_20210225_20210819_SF40,ARMS_BelgiumCoast_JJ-CD78_20210225-20210819_SF40_DMSO_A,,,,,,
ARMS_BelgiumCoast_AJJCD89_20210225_20210819,ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF100,ARMS_BelgiumCoast_JJ-CD89_20210225-20210819_MF100_DMSO_A,,,,,,
ARMS_BelgiumCoast_AJJCD89_20210225_20210819,ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF500,ARMS_BelgiumCoast_JJ-CD89_20210225-20210819_MF500_DMSO_A,,,,,,
ARMS_BelgiumCoast_AJJCD89_20210225_20210819,ARMS_BelgiumCoast_AJJCD89_20210225_20210819_SF40,ARMS_BelgiumCoast_JJ-CD89_20210225-20210819_SF40_DMSO_A,,,,,,
ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309_MF100,ARMS_BelgiumCoast_Birkenfels-A_20200617-20210309_MF100_DMSO_A,,,,,,
ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309_MF500,ARMS_BelgiumCoast_Birkenfels-A_20200617-20210309_MF500_DMSO_A,,,,,,
ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309_SF40,ARMS_BelgiumCoast_Birkenfels-A_20200617-20210309_SF40_DMSO_A,,,,,,
ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_MF100,ARMS_BelgiumCoast_Birkenfels-B_20200617-20210309_MF100_DMSO_A,,,,,,
ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_MF500,ARMS_BelgiumCoast_Birkenfels-B_20200617-20210309_MF500_DMSO_A,,,,,,
ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_SF40,ARMS_BelgiumCoast_Birkenfels-B_20200617-20210309_SF40_DMSO_A,,,,,,
ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_MF100,ARMS_BelgiumCoast_CoastbustersA_20210422-20211008_MF100_DMSO_A,,,,,,
ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_MF500,ARMS_BelgiumCoast_CoastbustersA_20210422-20211008_MF500_DMSO_A,,,,,,
ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_SF40,ARMS_BelgiumCoast_CoastbustersA_20210422-20211008_SF40_DMSO_A,,,,,,
ARMS_Bodo_GStraB_20190621-20201207,ARMS_Bodo_GStraB_20190621-20201207_MF100,ARMS_Bodo_GStraB_190621-201207_MF100,ERR9632090,ERR9632065,discontinued,discontinued,ERR9632075,ERR9632062
ARMS_Bodo_GStraB_20190621-20201207,ARMS_Bodo_GStraB_20190621-20201207_MF500,ARMS_Bodo_GStraB_190621-201207_MF500,ERR9632091,ERR9632065,discontinued,discontinued,ERR9632076,ERR9632062
ARMS_Bodo_GStraB_20190621-20201207,ARMS_Bodo_GStraB_20190621-20201207_SF50_?,ARMS_Bodo_GStraB_190621-201207_SF50_?,ERR9632089,ERR9632065,discontinued,discontinued,ERR9632074,ERR9632062
ARMS_Bodo_GStraM_20190621-20201207,ARMS_Bodo_GStraM_20190621-20201207_MF100,ARMS_Bodo_GStraM_190621-201207_MF100,ERR9632093,ERR9632065,discontinued,discontinued,ERR9632078,ERR9632062
ARMS_Bodo_GStraM_20190621-20201207,ARMS_Bodo_GStraM_20190621-20201207_MF500,ARMS_Bodo_GStraM_190621-201207_MF500,ERR9632094,ERR9632065,discontinued,discontinued,ERR9632079,ERR9632062
ARMS_Bodo_GStraM_20190621-20201207,ARMS_Bodo_GStraM_20190621-20201207_SF50_?,ARMS_Bodo_GStraM_190621-201207_SF50_?,ERR9632092,ERR9632065,discontinued,discontinued,ERR9632077,ERR9632062
ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_MF125_DMSO,Motile 125 ?m DMSO,ERR9632063,ERR9632065,discontinued,discontinued,ERR9632060,ERR9632062
ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_MF125_ETOH,Motile 125 ?m ETOH,ERR9632064,ERR9632065,discontinued,discontinued,ERR9632061,ERR9632062
ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO,Motile 500 ?m DMSO,ERR3460468,ERR3460471,ERR4018431,ERR4018475,ERR4605086,ERR4605902
ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_MF500_ETOH,Motile 500 ?m ETOH,ERR3460469,ERR3460471,ERR4018432,ERR4018475,ERR4605087,ERR4605902
ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_PS250_ETOH,Plankton Her Port ETOH,N/A (no successful amplification),N/A (no successful amplification),ERR4018434,ERR4018475,ERR4605089,ERR4605902
ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_SED,Sediment Her Port,ERR3460470,ERR3460471,ERR4018433,ERR4018475,ERR4605088,ERR4605902
ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_SF_DMSO,Sessile DMSO,ERR3460466,ERR3460471,ERR4018429,ERR4018475,ERR4605084,ERR4605902
ARMS_Crete_1HERP_20180928_20190128,ARMS_Crete_1HERP_20180928_20190128_SF_ETOH,Sessile ETOH,ERR3460467,ERR3460471,ERR4018430,ERR4018475,ERR4605085,ERR4605902
ARMS_Crete_1HERP_20190612_20191011,ARMS_Crete_1HERP_20190612_20191011_MF500,2019_1HERP_ARMS2_MF500,ERR7125537,ERR7125534,ERR7125538,ERR7125535,ERR7125536,ERR7125533
ARMS_Crete_1HERP_20190612_20191011,ARMS_Crete_1HERP_20190612_20191011_MF90,2019_1HERP_ARMS2_MF90,ERR7125540,ERR7125534,ERR7125541,ERR7125535,ERR7125539,ERR7125533
