Country,ObservatoryID,UnitID,DateDeployed,DateCollected,EventID,MaterialSampleID,Fraction,Preservative,Filter,CrateCover,Number of associated data files,Number of ENA sequences
ESP,Getxo,G3,2019-06-24,2019-10-16,ARMS_Getxo_G3_20190624_20191016,ARMS_Getxo_G3_20190624_20191016_MF100,Motile,DMSO,100,No,222,4
ESP,Getxo,G3,2019-06-24,2019-10-16,ARMS_Getxo_G3_20190624_20191016,ARMS_Getxo_G3_20190624_20191016_MF500,Motile,DMSO,500,No,222,4
ESP,Getxo,G3,2019-06-24,2019-10-16,ARMS_Getxo_G3_20190624_20191016,ARMS_Getxo_G3_20190624_20191016_SF40,Sessile,DMSO,40,No,222,4
ESP,Getxo,G3,2020-06-24,2020-11-03,ARMS_Getxo_G3_20200624_20201103,ARMS_Getxo_G3_20200624_20201103_MF100,Motile,DMSO,100,,255,6
ESP,Getxo,G3,2020-06-24,2020-11-03,ARMS_Getxo_G3_20200624_20201103,ARMS_Getxo_G3_20200624_20201103_SF40,Sessile,DMSO,40,,255,6
ESP,LukaKP,,2021-02-23,2021-06-22,ARMS_GulfOfPiran_LukaKP_20210223_20210622,ARMS_GulfOfPiran_LukaKP_20210223_20210622_MF40_DMSO,Motile,DMSO,40,,0,0
ESP,LukaKP,,2021-02-23,2021-06-22,ARMS_GulfOfPiran_LukaKP_20210223_20210622,ARMS_GulfOfPiran_LukaKP_20210223_20210622_SF40_DMSO,Sessile,DMSO,40,,0,0
ESP,LukaKP,,2021-06-22,2021-10-27,ARMS_GulfOfPiran_LukaKP_20210622_20211027,ARMS_GulfOfPiran_LukaKP_20210622_20211027_MF40_DMSO,Motile,DMSO,40,,0,0
ESP,LukaKP,,2021-06-22,2021-10-27,ARMS_GulfOfPiran_LukaKP_20210622_20211027,ARMS_GulfOfPiran_LukaKP_20210622_20211027_SF100_DMSO,Sessile,DMSO,100,,0,0
ESP,LukaKP,,2021-06-22,2021-10-27,ARMS_GulfOfPiran_LukaKP_20210622_20211027,ARMS_GulfOfPiran_LukaKP_20210622_20211027_SF40_DMSO,Sessile,DMSO,40,,0,0
ESP,Vigo,TorallaA,2018-06-07,2018-09-24,ARMS_Vigo_TorallaA_20180607_20180924,ARMS_Vigo_TorallaA_20180607_20180924_MF100_ETOH,Motile,EtOH,100,,25,4
ESP,Vigo,TorallaA,2018-06-07,2018-09-24,ARMS_Vigo_TorallaA_20180607_20180924,ARMS_Vigo_TorallaA_20180607_20180924_MF500_ETOH,Motile,EtOH,500,,25,4
ESP,Vigo,TorallaA,2018-06-07,2018-09-24,ARMS_Vigo_TorallaA_20180607_20180924,ARMS_Vigo_TorallaA_20180607_20180924_SF40_ETOH,Sessile,EtOH,40,,25,6
ESP,Vigo,TorallaA,2019-06-25,2019-10-14,ARMS_Vigo_TorallaA_20190625_20191014,ARMS_Vigo_TorallaA_20190625_20191014_MF100,Motile,DMSO,100,,21,6
ESP,Vigo,TorallaA,2019-06-25,2019-10-14,ARMS_Vigo_TorallaA_20190625_20191014,ARMS_Vigo_TorallaA_20190625_20191014_MF500,Motile,DMSO,500,,21,6
ESP,Vigo,TorallaA,2019-06-25,2019-10-14,ARMS_Vigo_TorallaA_20190625_20191014,ARMS_Vigo_TorallaA_20190625_20191014_SF40,Sessile,DMSO,40,,21,6
ESP,Vigo,TorallaA,2020-07-06,2020-10-06,ARMS_Vigo_TorallaA_20200706_20201006,ARMS_Vigo_TorallaA_20200706_20201006_MF100,Motile,DMSO,100,,26,0
ESP,Vigo,TorallaA,2020-07-06,2020-10-06,ARMS_Vigo_TorallaA_20200706_20201006,ARMS_Vigo_TorallaA_20200706_20201006_MF500,Motile,DMSO,500,,26,0
ESP,Vigo,TorallaA,2020-07-06,2020-10-06,ARMS_Vigo_TorallaA_20200706_20201006,ARMS_Vigo_TorallaA_20200706_20201006_SF40,Sessile,DMSO,40,,26,0
ESP,Vigo,TorallaB,2019-06-25,2019-10-14,ARMS_Vigo_TorallaB_20190625_20191014,ARMS_Vigo_TorallaB_20190625_20191014_MF100,Motile,DMSO,100,,18,6
ESP,Vigo,TorallaB,2019-06-25,2019-10-14,ARMS_Vigo_TorallaB_20190625_20191014,ARMS_Vigo_TorallaB_20190625_20191014_MF500,Motile,DMSO,500,,18,6
ESP,Vigo,TorallaB,2019-06-25,2019-10-14,ARMS_Vigo_TorallaB_20190625_20191014,ARMS_Vigo_TorallaB_20190625_20191014_SF40,Sessile,DMSO,40,,18,4
ESP,Vigo,TorallaB,2020-07-06,2020-10-06,ARMS_Vigo_TorallaB_20200706_20201006,ARMS_Vigo_TorallaB_20200706_20201006_MF100,Motile,DMSO,100,,18,0
ESP,Vigo,TorallaB,2020-07-06,2020-10-06,ARMS_Vigo_TorallaB_20200706_20201006,ARMS_Vigo_TorallaB_20200706_20201006_MF500,Motile,DMSO,500,,18,0
ESP,Vigo,TorallaB,2020-07-06,2020-10-06,ARMS_Vigo_TorallaB_20200706_20201006,ARMS_Vigo_TorallaB_20200706_20201006_SF40,Sessile,DMSO,40,,18,0
ESP,Vigo,TorallaC,2019-06-25,2019-10-14,ARMS_Vigo_TorallaC_20190625_20191014,ARMS_Vigo_TorallaC_20190625_20191014_MF100,Motile,DMSO,100,,18,6
ESP,Vigo,TorallaC,2019-06-25,2019-10-14,ARMS_Vigo_TorallaC_20190625_20191014,ARMS_Vigo_TorallaC_20190625_20191014_MF500,Motile,DMSO,500,,18,6
ESP,Vigo,TorallaC,2019-06-25,2019-10-14,ARMS_Vigo_TorallaC_20190625_20191014,ARMS_Vigo_TorallaC_20190625_20191014_SF40,Sessile,DMSO,40,,18,4
ESP,Vigo,TorallaC,2020-07-06,2020-10-06,ARMS_Vigo_TorallaC_20200706_20201006,ARMS_Vigo_TorallaC_20200706_20201006_MF100,Motile,DMSO,100,,18,0
ESP,Vigo,TorallaC,2020-07-06,2020-10-06,ARMS_Vigo_TorallaC_20200706_20201006,ARMS_Vigo_TorallaC_20200706_20201006_MF500,Motile,DMSO,500,,18,0
ESP,Vigo,TorallaC,2020-07-06,2020-10-06,ARMS_Vigo_TorallaC_20200706_20201006,ARMS_Vigo_TorallaC_20200706_20201006_SF40,Sessile,DMSO,40,,18,0
FIN,TZS,Angbat,2018-07-11,2018-11-06,ARMS_TZS_Angbat_20180711_20181106,ARMS_TZS_Angbat_20180711_20181106_MF100_ETOH,Motile,EtOH,100,,105,4
FIN,TZS,Angbat,2018-07-11,2018-11-06,ARMS_TZS_Angbat_20180711_20181106,ARMS_TZS_Angbat_20180711_20181106_MF500_ETOH,Motile,EtOH,500,,105,6
