OTUID,taxonomicClassificationOrig,Domain,Supergroup,Division/Kingdom,Phylum/Class,Level_X,Level_XX,Level_XXX,Level_XXXX,Level_XXXXX,genus_species
Otu150,Main genome;Eukaryota;Archaeplastida;Chlorophyta;Ulvophyceae;Ulvales-relatives;Ulvales-relatives (order);X (Ulvales-relatives (order));Phaeophila;Phaeophila (species);dendroides (Phaeophila (species)),Eukaryota,Archaeplastida,Chlorophyta,Ulvophyceae,Ulvales-relatives,Phaeophila,NA,NA,NA,NA
Otu151,Main genome;Eukaryota;Archaeplastida;Chlorophyta;Ulvophyceae;Ulvales-relatives;Ulvales-relatives (order);X (Ulvales-relatives (order));Ulva;Ulva (species),Eukaryota,Archaeplastida,Chlorophyta,Ulvophyceae,Ulvales-relatives,Ulva,NA,NA,NA,NA
Otu156,Main genome;Eukaryota;Opisthokonta;Metazoa;Platyhelminthes;Turbellaria;Rhabdocoela;Unknown Rhabdocoela family 2,Eukaryota,Opisthokonta,Metazoa,Platyhelminthes,Turbellaria,Rhabdocoela,NA,NA,NA,NA
Otu157,Main genome;Eukaryota;Archaeplastida;Chlorophyta;Chloropicophyceae;Chloropicales;Chloropicaceae;Chloropicon;Chloropicon (genus),Eukaryota,Archaeplastida,Chlorophyta,Chloropicophyceae,Chloropicales,Chloropicaceae,Chloropicon,NA,NA,NA
Otu154,Main genome;Eukaryota;Stramenopiles;Sagenista;Labyrinthulomycetes;Oblongichytrida;Oblongichytridiaceae;Oblongichytrium;Oblongichytrium (genus);Unknown Oblongichytrium (genus) species 1,Eukaryota,Stramenopiles,Sagenista,Labyrinthulomycetes,Oblongichytrida,Oblongichytridiaceae,Oblongichytrium,NA,NA,NA
Otu155,Main genome;Eukaryota;Opisthokonta;Metazoa;Bryozoa;Bryozoa (class);X (Bryozoa (class));Bryozoa (X (Bryozoa (class)));XX (Bryozoa (X (Bryozoa (class))));Plagioecia;Plagioecia (strain);patina,Eukaryota,Opisthokonta,Metazoa,Bryozoa,Plagioecia,patina,NA,NA,NA,Plagioecia_patina
Otu73,Main genome;Eukaryota;Opisthokonta;Metazoa;Annelida;Annelida (class);X (Annelida (class));Annelida (X (Annelida (class)));XX (Annelida (X (Annelida (class)))),Eukaryota,Opisthokonta,Metazoa,Annelida,NA,NA,NA,NA,NA,NA
Otu71,Main genome;Eukaryota;Archaeplastida;Rhodophyta;Florideophyceae,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,NA,NA,NA,NA,NA,NA
Otu76,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Paramenophia;Paramenophia (genus);Unknown Paramenophia (genus) species 1,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Paramenophia,NA,NA,NA
Otu721,Main genome;Eukaryota;Opisthokonta;Metazoa;Nematoda;Chromadorea;Chromadorea (order);X (Chromadorea (order));Paracyatholaimus;Unknown Paracyatholaimus species 2,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Paracyatholaimus,NA,NA,NA,NA
Otu75,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Cephaloidophoridae;Cephaloidophora;Cephaloidophora (genus);Unknown Cephaloidophora (genus) species 1,Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Cephaloidophoridae,Cephaloidophora,NA,NA,NA
Otu930,Main genome;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Suessiales;Suessiaceae;Suessiaceae (family);X (Suessiaceae (family));Suessiaceae (X (Suessiaceae (family)));X (Suessiaceae (X (Suessiaceae (family))));sp. (X (Suessiaceae (X (Suessiaceae (family))))),Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Suessiales,Suessiaceae,NA,NA,NA,NA
Otu563,Main genome;Eukaryota;Opisthokonta;Metazoa;Bryozoa;Bryozoa (class);X (Bryozoa (class));Unknown X (Bryozoa (class)) family 2,Eukaryota,Opisthokonta,Metazoa,Bryozoa,NA,NA,NA,NA,NA,NA
Otu78,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Porosporidae;Porosporidae (family);X (Porosporidae (family));Porosporidae (X (Porosporidae (family)));X (Porosporidae (X (Porosporidae (family))));sp. (X (Porosporidae (X (Porosporidae (family))))),Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Porosporidae,NA,NA,NA,NA
Otu649,Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta (class);X (Bacillariophyta (class));Unknown X (Bacillariophyta (class)) family 3,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,NA,NA,NA,NA,NA,NA
Otu934,Main genome;Eukaryota,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA
Otu935,Main genome;Eukaryota;Archaeplastida;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas;Pyramimonas (genus);Unknown Pyramimonas (genus) species 2,Eukaryota,Archaeplastida,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,NA,NA,NA
Otu936,Main genome;Eukaryota;Stramenopiles;Ochrophyta,Eukaryota,Stramenopiles,Ochrophyta,NA,NA,NA,NA,NA,NA,NA
Otu562,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,NA,NA,NA,NA
Otu915,Main genome;Eukaryota;Alveolata;Chrompodellids;Colpodellidea;Colpodellida;Chromeraceae;Unknown Chromeraceae family 2,Eukaryota,Alveolata,Chrompodellids,Colpodellidea,Colpodellida,Chromeraceae,NA,NA,NA,NA
Otu237,Main genome;Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Unknown Chlamydomonadales order 1,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,NA,NA,NA,NA,NA
Otu236,Main genome;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Amphidinium;Amphidinium (genus);carterae,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,carterae,NA,Amphidinium_carterae
Otu235,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,NA,NA,NA,NA
Otu233,Main genome;Eukaryota;Alveolata;Ciliophora;Ciliophora (phylum);X (Ciliophora (phylum));Ciliophora (X (Ciliophora (phylum)));XX (Ciliophora (X (Ciliophora (phylum))));Protocruziidae;Protocruzia;Protocruzia (strain);granulosa (Protocruzia (strain)),Eukaryota,Alveolata,Ciliophora,Protocruziidae,Protocruzia,NA,NA,NA,NA,NA
Otu232,Main genome;Eukaryota;Opisthokonta;Metazoa;Porifera;Porifera (class);X (Porifera (class));Demospongiae;Axinella;Axinella (species);Unknown Axinella (species) strain 1,Eukaryota,Opisthokonta,Metazoa,Porifera,Demospongiae,Axinella,NA,NA,NA,NA
Otu231,Main genome;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-3;Dino-Group-I-Clade-3 (family);X (Dino-Group-I-Clade-3 (family));Dino-Group-I-Clade-3 (X (Dino-Group-I-Clade-3 (family)));X (Dino-Group-I-Clade-3 (X (Dino-Group-I-Clade-3 (family))));sp. (X (Dino-Group-I-Clade-3 (X (Dino-Group-I-Clade-3 (family))))),Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-3,NA,NA,NA,NA
Otu230,Main genome;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-III;Dino-Group-III (order);X (Dino-Group-III (order));Dino-Group-III (X (Dino-Group-III (order)));XX (Dino-Group-III (X (Dino-Group-III (order))));Dino-Group-III (XX (Dino-Group-III (X (Dino-Group-III (order)))));XX (Dino-Group-III (XX (Dino-Group-III (X (Dino-Group-III (order))))));sp. (XX (Dino-Group-III (XX (Dino-Group-III (X (Dino-Group-III (order))))))),Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-III,NA,NA,NA,NA,NA
Otu551,Main genome;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae;K;Strombidium (K);K (Strombidium (K));Strombidium (K (Strombidium (K)));K (Strombidium (K (Strombidium (K))));sp. (K (Strombidium (K (Strombidium (K))))),Eukaryota,Alveolata,Ciliophora,Spirotrichea,Strombidiida,Strombidiidae,K,NA,NA,NA
Otu559,Main genome;Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Ventricleftida;CCW10-lineage;CCW10-lineage (family);X (CCW10-lineage (family));CCW10-lineage (X (CCW10-lineage (family)));X (CCW10-lineage (X (CCW10-lineage (family))));sp. (X (CCW10-lineage (X (CCW10-lineage (family))))),Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Ventricleftida,CCW10-lineage,NA,NA,NA,NA
Otu239,Main genome;Eukaryota;Archaeplastida;Streptophyta;Embryophyceae;Embryophyceae (class);X (Embryophyceae (class));Embryophyceae (X (Embryophyceae (class)));XX (Embryophyceae (X (Embryophyceae (class)))),Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,NA,NA,NA,NA,NA,NA
Otu952,Main genome;Eukaryota;Hacrobia;Centroheliozoa;Centroheliozoa (phylum);X (Centroheliozoa (phylum)),Eukaryota,Hacrobia,Centroheliozoa,NA,NA,NA,NA,NA,NA,NA
Otu550,Main genome;Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Peritrichia;Vaginicolidae;Vaginicolidae (family);X (Vaginicolidae (family));Vaginicolidae (X (Vaginicolidae (family)));X (Vaginicolidae (X (Vaginicolidae (family))));sp. (X (Vaginicolidae (X (Vaginicolidae (family))))),Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Peritrichia,Vaginicolidae,NA,NA,NA,NA
Otu953,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Unknown Maxillopoda family 9,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,NA,NA,NA,NA
