Station,Country,ARMS_unit,Latitude,Longitude,Depth,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Data,Created,Updated
BelgiumCoast,Belgium,AJJBC89,51.64971000,2.78937400,no measurements,2021-02-25,2021-08-19,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,0,0,0,19,2021-09-01,2022-09-28
BelgiumCoast,Belgium,AZFPin,51.66522000,2.82558000,37.5,2018-07-12,2018-08-18,ARMS_BelgiumCoast_AZFPin_20180712_20180818,0,0,0,293,2019-11-11,2022-09-14
BelgiumCoast,Belgium,BirkenfelsB,51.64816667,2.53583333,38.81,2020-06-17,2021-03-09,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,0,0,0,36,2021-04-07,2022-09-14
BelgiumCoast,Belgium,BirkenfelsA,51.64816667,2.53583333,38.81,2020-06-17,2021-03-09,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309,0,0,0,36,2021-04-07,2022-09-14
BelgiumCoast,Belgium,CPowerC,51.57983300,2.99550000,26,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerC_20210623_20220622,0,0,0,19,2022-06-28,2022-09-28
BelgiumCoast,Belgium,CPowerA,51.57983300,2.99550000,26,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerA_20210623_20220622,0,0,0,19,2022-06-28,2022-09-28
BelgiumCoast,Belgium,CPowerB,51.57983300,2.99550000,26,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerB_20210623_20220622,0,0,0,19,2022-06-28,2022-09-28
BelgiumCoast,Belgium,CoastbustersA,51.11485000,2.57858333,no measurements,2021-04-22,2021-10-08,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,0,0,0,19,2021-10-12,2022-09-28
Vigo,Spain,TorallaA,42.23611111,-8.78611111,12,2020-07-06,2020-10-06,ARMS_Vigo_TorallaA_20200706_20201006,0,0,0,26,2020-07-13,2020-10-12
Vigo,Spain,TorallaA,42.23611111,-8.78611111,12,2018-06-07,2018-09-24,ARMS_Vigo_TorallaA_20180607_20180924,0,0,0,25,2019-11-11,2022-01-24
Vigo,Spain,TorallaA,42.23611111,-8.78611111,12,2019-06-25,2019-10-14,ARMS_Vigo_TorallaA_20190625_20191014,0,0,0,21,2019-11-11,2022-01-24
Vigo,Spain,TorallaB,42.23333300,-8.78333300,12,2020-07-06,2020-10-06,ARMS_Vigo_TorallaB_20200706_20201006,0,0,0,18,2020-07-13,2020-10-12
Vigo,Spain,TorallaB,42.23333300,-8.78333300,12,2019-06-25,2019-10-14,ARMS_Vigo_TorallaB_20190625_20191014,0,0,0,18,2019-11-11,2022-01-24
Vigo,Spain,TorallaC,42.23400000,-8.78333300,12,2020-07-06,2020-10-06,ARMS_Vigo_TorallaC_20200706_20201006,0,0,0,18,2020-07-13,2020-12-15
Vigo,Spain,TorallaC,42.23400000,-8.78333300,12,2019-06-25,2019-10-14,ARMS_Vigo_TorallaC_20190625_20191014,0,0,0,18,2019-11-11,2022-01-24
Eilat,Israel,NR,29.50000000,34.90000000,10,2020-12-27,,ARMS_Eilat_NR_00000000_00000000,0,0,0,0,2020-12-16,2021-01-05
Eilat,Israel,NR,29.50000000,34.90000000,10,2018-10-17,2020-05-24,ARMS_Eilat_NR_20181017_20200524,0,0,0,183,2020-08-04,2020-12-16
Eilat,Israel,NR,29.50000000,34.90000000,10,2020-12-27,,ARMS_Eilat_NR_00000000_00000000,0,0,0,0,2021-01-05,2021-01-05
Eilat,Israel,NR,29.50000000,34.90000000,10,2018-10-17,2020-04-02,ARMS_Eilat_NR_20181017_20200402,0,0,0,151,2019-11-11,2020-12-16
Eilat,Israel,Katza,29.52000000,34.93000000,10,2018-10-24,2020-08-03,ARMS_Eilat_Katza_20181024_20200803,0,0,0,231,2020-08-04,2020-09-15
Eilat,Israel,Katza,29.52000000,34.93000000,10,2018-10-24,2020-07-06,ARMS_Eilat_Katza_20181024_20200706,0,0,0,213,2019-11-11,2020-09-15
GulfOfPiran,Slovenia,to delete,45.56485600,13.74358600,3,2020-06-22,2021-05,ARMS_GulfOfPiran_to delete_20200622_00000000,0,0,0,0,2020-12-16,2020-12-16
GulfOfPiran,Slovenia,Fornace,45.51880000,13.56730000,9,2018-08-15,2018-11-18,ARMS_GulfOfPiran_Fornace_20180815_20181118,0,0,0,154,2019-11-11,2020-04-27
GulfOfPiran,Slovenia,Fornace,45.51880000,13.56730000,9,2018-08-15,2019-02-15,ARMS_GulfOfPiran_Fornace_20180815_20190215,0,0,0,179,2020-03-16,2020-04-14
GulfOfPiran,Slovenia,Fornace,45.51880000,13.56730000,9,2019-07-02,2020-01-27,ARMS_GulfOfPiran_Fornace_20190702_20200127,0,0,0,127,2020-03-23,2020-04-22
GulfOfPiran,Slovenia,Fornace,45.51880000,13.56730000,9,2019-07-02,2020-01-27,ARMS_GulfOfPiran_Fornace_20190702_20200127,0,0,0,0,2020-03-23,2022-03-04
GulfOfPiran,Slovenia,LukaKP,45.56485600,13.74358600,3,2020-10-22,2021-02-23,ARMS_GulfOfPiran_LukaKP_20201022_20210223,0,0,0,0,2021-03-22,2021-03-22
GulfOfPiran,Slovenia,LukaKP,45.56485600,13.74358600,3,2020-06-22,2020-10-20,ARMS_GulfOfPiran_LukaKP_20200622_20201020,0,0,0,0,2020-12-16,2021-03-22
GulfOfPiran,Slovenia,LukaKP,45.56485600,13.74358600,3,2021-02-23,2021-06-22,ARMS_GulfOfPiran_LukaKP_20210223_20210622,0,0,0,0,2021-03-22,2022-03-04
GulfOfPiran,Slovenia,LukaKP,45.56485600,13.74358600,3,2022-02-28,,ARMS_GulfOfPiran_LukaKP_00000000_00000000,0,0,0,0,2022-03-04,2022-03-04
GulfOfPiran,Slovenia,LukaKP,45.56485600,13.74358600,3,2021-06-22,2021-10-27,ARMS_GulfOfPiran_LukaKP_20210622_20211027,0,0,0,0,2022-03-04,2022-03-04
GulfOfPiran,Slovenia,LukaKP,45.56485600,13.74358600,3,2021-10-27,2022-02-28,ARMS_GulfOfPiran_LukaKP_20211027_20220228,0,0,0,0,2022-03-04,2022-03-04
GulfOfPiran,Slovenia,BojaVida,45.54875000,13.55070000,22,2019-07-11,2020-01-31,ARMS_GulfOfPiran_BojaVida_20190711_20200131,0,0,0,145,2020-03-23,2020-04-22
GulfOfPiran,Slovenia,BojaVida,45.54875000,13.55070000,22,2019-07-11,2020-06-11,ARMS_GulfOfPiran_BojaVida_20190711_20200611,0,0,0,0,2020-03-23,2021-03-22
GulfOfPiran,Slovenia,BojaVida,45.54875000,13.55070000,22,2020-06-11,2021-07-28,ARMS_GulfOfPiran_BojaVida_20200611_20210728,0,0,0,0,2021-03-22,2022-03-04
GulfOfPiran,Slovenia,BojaVida,45.54875000,13.55070000,22,2021-07-28,,ARMS_GulfOfPiran_BojaVida_00000000_00000000,0,0,0,0,2022-03-04,2022-03-04
Nuuk,Greenland,Nuuk1,64.14000000,-51.39000000,15,2020-08-01,2022-08,ARMS_Nuuk_Nuuk1_20200801_00000000,0,0,0,0,2019-11-25,2021-11-08
Nuuk,Greenland,Nuuk2,64.14040000,-51.39040000,15,2020-08-01,2022-08,ARMS_Nuuk_Nuuk2_20200801_00000000,0,0,0,0,2019-11-25,2021-11-08
Nuuk,Greenland,Nuuk3,64.14080000,-51.39080000,15,2020-08-01,2022-08,ARMS_Nuuk_Nuuk3_20200801_00000000,0,0,0,0,2019-11-25,2021-11-08
Daneborg,Greenland,Daneborg2,74.33040000,-20.34040000,15,2020-07-22,2021-08,ARMS_Daneborg_Daneborg2_20200722_00000000,0,0,0,0,2019-11-25,2021-11-08
Daneborg,Greenland,Daneborg3,74.33080000,-20.34080000,15,2020-07-22,2022-08,ARMS_Daneborg_Daneborg3_20200722_00000000,0,0,0,0,2019-11-25,2021-11-08
Daneborg,Greenland,Daneborg1,74.33000000,-20.34000000,15,2020-07-22,2022-08,ARMS_Daneborg_Daneborg1_20200722_00000000,0,0,0,0,2019-11-25,2021-11-08
Getxo,Spain,G2,43.33850000,-3.01491000,10,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,0,0,0,121,2019-11-11,2020-12-18
Getxo,Spain,G2,43.33850000,-3.01491000,10,2020-06-24,2020-11-03,ARMS_Getxo_G2_20200624_20201103,0,0,0,231,2020-09-16,2020-12-29
Getxo,Spain,G1,43.33845200,-3.01483300,10,2019-06-24,2019-10-16,ARMS_Getxo_G1_20190624_20191016,0,0,0,134,2019-11-11,2020-12-18
Getxo,Spain,G1,43.33845200,-3.01483300,10,2020-06-24,2020-11-03,ARMS_Getxo_G1_20200624_20201103,0,0,0,236,2020-09-16,2020-12-29
Getxo,Spain,G3,43.33843000,-3.01483000,10,2019-06-24,2019-10-16,ARMS_Getxo_G3_20190624_20191016,0,0,0,222,2019-11-11,2020-12-18
Getxo,Spain,G3,43.33843000,-3.01483000,10,2020-06-24,2020-11-03,ARMS_Getxo_G3_20200624_20201103,0,0,0,255,2020-09-16,2020-12-29
Gdynia,Poland,GDY1,54.48522000,18.57111000,4,2018-08-13,2019-10-29,ARMS_Gdynia_GDY1_20180813_20191029,0,0,0,118,2019-11-11,2021-12-09
Gdynia,Poland,GDY1,54.48522000,18.57111000,4,2020-06-10,2021-12-22,ARMS_Gdynia_GDY1_20200610_20211222,0,0,0,18,2020-11-06,2022-07-06
Gdynia,Poland,GDY1,54.48522000,18.57111000,4,2019-06-19,2019-10-29,ARMS_Gdynia_GDY1_20190619_20191029,0,0,0,154,2019-12-05,2022-07-06
