station,arms_unit,qc_param,qc_flag,plutoF_data,gsheets_data
Galway,Gurr2,longitude,fail,-9.66854100,-9.670278
Galway,Gurr2,depth,fail,6.2,8
Galway,Gurr1,depth,fail,6.6,8
Galway,Gurr1,depth,fail,6.6,8
Galway,Gurr4,"latitude, longitude, depth",pass,,
Laeso,unit1,arms_unit,fail,unit1,Ven3
Laeso,unit1,arms_unit,fail,unit1,Ven3
Laeso,unit2,arms_unit,fail,unit2,Ven3
Laeso,unit2,arms_unit,fail,unit2,Ven3
Laeso,unit3,arms_unit,fail,unit3,Ven3
Laeso,unit3,arms_unit,fail,unit3,Ven3
Limfjord,Green33,latitude,fail,56.90155000,56.901246
Limfjord,Green33,longitude,fail,9.05516667,9.058189
Limfjord,Green33,latitude,fail,56.90155000,56.901246
Limfjord,Green33,longitude,fail,9.05516667,9.058189
Limfjord,Green33,latitude,fail,56.90155000,56.901246
Limfjord,Green33,longitude,fail,9.05516667,9.058189
Limfjord,Red2,"latitude, longitude, depth",pass,,
Limfjord,Red2,"latitude, longitude, depth",pass,,
Limfjord,Red2,"latitude, longitude, depth",pass,,
Limfjord,Yellow8,latitude,fail,56.90131667,56.902366
Limfjord,Yellow8,longitude,fail,9.05733333,9.055797
Limfjord,Yellow8,depth,fail,3.5,4
Limfjord,Yellow8,latitude,fail,56.90131667,56.902366
Limfjord,Yellow8,longitude,fail,9.05733333,9.055797
Limfjord,Yellow8,depth,fail,3.5,4
Limfjord,Yellow8,latitude,fail,56.90131667,56.902366
Limfjord,Yellow8,longitude,fail,9.05733333,9.055797
Limfjord,Yellow8,depth,fail,3.5,4
Limfjord,Yellow8,latitude,fail,56.90131667,56.902366
Limfjord,Yellow8,longitude,fail,9.05733333,9.055797
Limfjord,Yellow8,depth,fail,3.5,4
Bodo,GStraB,"latitude, longitude, depth",pass,,
Bodo,GStraB,"latitude, longitude, depth",pass,,
Bodo,GStraM,"latitude, longitude, depth",pass,,
Bodo,GStraM,"latitude, longitude, depth",pass,,
SWC,Gbg4,depth,fail,5,6
SWC,Bjorko1,depth,fail,1.5,2
SWC,Hjuvik1,"latitude, longitude, depth",pass,,
SWC,Gbg1,depth,fail,5,6
SWC,Gbg2,depth,fail,5,24
SWC,Gbg3,depth,fail,5,8
SWC,Varberg1,"latitude, longitude, depth",pass,,
SWC,Varberg2,"latitude, longitude, depth",pass,,
SWC,Varberg3,"latitude, longitude, depth",pass,,
SWC,Marstrand2,depth,fail,6,5
SWC,Marstrand3,depth,fail,2,5
SWC,Helsingborg1,"latitude, longitude, depth",pass,,
SWC,Helsignborg2,arms_unit,fail,Helsignborg2,Ven3
SWC,Marstrand1,depth,fail,6,5
SWC,Preemraff2,"latitude, longitude, depth",pass,,
SWC,Preemraff1,"latitude, longitude, depth",pass,,
SchleswigHolstein,SHNP1,depth,fail,no measurements,not provided
SchleswigHolstein,SHNP1,"latitude, longitude, depth",pass,,
RavMarina,RavM2,depth,fail,no measurements,1.5
RavMarina,RavM2,"latitude, longitude, depth",pass,,
RavMarina,RavM3,depth,fail,no measurements,1.5
RavMarina,RavM3,"latitude, longitude, depth",pass,,
RavMarina,RavM1,depth,fail,no measurements,1.5
RavMarina,RavM1,"latitude, longitude, depth",pass,,
RavHarbour,RavH1,depth,fail,no measurements,1.5
RavHarbour,RavH1,"latitude, longitude, depth",pass,,
RavHarbour,RavH2,depth,fail,no measurements,1.5
RavHarbour,RavH2,"latitude, longitude, depth",pass,,
RavHarbour,RavH3,depth,fail,no measurements,1.5
RavHarbour,RavH3,"latitude, longitude, depth",pass,,
AdriaticEast,Ven3,latitude,fail,45.31666700,45.314167
AdriaticEast,Ven3,longitude,fail,12.50000000,12.508333
AdriaticEast,Ven1,latitude,fail,45.31666700,45.314167
AdriaticEast,Ven1,longitude,fail,12.50000000,12.508333
AdriaticEast,Ven2,latitude,fail,45.31666700,45.314167
AdriaticEast,Ven2,longitude,fail,12.50000000,12.508333
