Event-ID from GS,Deployment Date from GS,Collection Date from GS,Event_id from PlutoF,Date_start from PlutoF,Date_end from PlutoF
ARMS_Gdynia_GDY1_20190619_20191029,2019-06-19,2019-10-29,ARMS_Gdynia_GDY1_20190619_20191029,2019-06-19,2019-10-29
missing,missing,missing,ARMS_Gdynia_GDY1_20210427_00000000,2021-04-27,2022-10
ARMS_Crete_2UBPC_20190924_20201211,2019-09-24,2020-12-11,ARMS_Crete_2UBPC_20190924_20201211,2019-09-24,2020-12-11
missing,missing,missing,ARMS_Crete_2UBPC_20220901_00000000,2022-09-01,2023-08
missing,missing,missing,ARMS_Crete_2UBPC_20220901_00000000,2022-09-01,2023-08
missing,missing,missing,ARMS_Crete_2UBPC_20220901_00000000,2022-09-01,2023-08
ARMS_Crete_2UBPC_20201120_20220901,2020-11-20,2022-09-01,ARMS_Crete_2UBPC_20201120_20220901,2020-11-20,2022-09-01
ARMS_Crete_1HERP_20190612_20191011,2019-06-12,2019-10-11,ARMS_Crete_1HERP_20190612_20191011,2019-06-12,2019-10-11
ARMS_Crete_1HERP_20190612_20200618,2019-06-12,2020-06-18,ARMS_Crete_1HERP_20190612_20200618,2019-06-12,2020-06-18
ARMS_Crete_1HERP_20200903_20210625,2020-09-03,2021-06-25,ARMS_Crete_1HERP_20200903_20210625,2020-09-03,2021-06-25
ARMS_Crete_1HERP_20200903_20210122,2020-09-03,2021-01-22,ARMS_Crete_1HERP_20200903_20210122,2020-09-03,2021-01-22
ARMS_Crete_1HERP_20200903_20211012,2020-09-03,2021-10-12,ARMS_Crete_1HERP_20200903_20211012,2020-09-03,2021-10-12
ARMS_Crete_1HERP_20180928_20190128,2018-09-28,2019-01-28,ARMS_Crete_1HERP_20180928_20190128,2018-09-28,2019-01-28
ARMS_Crete_1HERP_20190612_20200210,2019-06-12,2020-02-10,ARMS_Crete_1HERP_20190612_20200210,2019-06-12,2020-02-10
missing,missing,missing,ARMS_Crete_1HERP_20221117_00000000,2022-11-17,2023-11
missing,missing,missing,ARMS_Crete_1HERP_20221117_00000000,2022-11-17,2023-11
missing,missing,missing,ARMS_Crete_1HERP_20221117_00000000,2022-11-17,2023-11
ARMS_Galway_Gurr3_20200723_20210708,2020-07-23,2021-07-08,ARMS_Galway_Gurr3_20200723_20210708,2020-07-23,2021-07-08
missing,missing,missing,ARMS_Galway_Gurr3_20210720_00000000,2021-07-20,2022-07
missing,missing,missing,ARMS_Galway_Gurr3_20210720_20220907,2021-07-20,2022-09-07
ARMS_Galway_Gurr2_20200721_20210707,2020-07-21,2021-07-07,ARMS_Galway_Gurr2_20200721_20210707,2020-07-21,2021-07-07
missing,missing,missing,ARMS_Galway_Gurr2_20210720_00000000,2021-07-20,2022-07
missing,missing,missing,ARMS_Galway_Gurr2_20210720_20220907,2021-07-20,2022-09-07
ARMS_Galway_Gurr1_20200721_20210708,2020-07-21,2021-07-08,ARMS_Galway_Gurr1_20200721_20210708,2020-07-21,2021-07-08
missing,missing,missing,ARMS_Galway_Gurr1_20210720_00000000,2021-07-20,2022-07
missing,missing,missing,ARMS_Galway_Gurr1_20210720_20220906,2021-07-20,2022-09-06
ARMS_Laeso_Laeso3_20190819_20200811,2019-08-19,2020-08-11,ARMS_Laeso_Laeso3_20190819_20200811,2019-08-19,2020-08-11
missing,missing,missing,ARMS_Laeso_Laeso3_20200811_20210815,2020-08-11,2021-08-15
ARMS_Laeso_Laeso1_20190819_20200811,2019-08-19,2020-08-11,ARMS_Laeso_Laeso1_20190819_20200811,2019-08-19,2020-08-11
missing,missing,missing,ARMS_Laeso_Laeso1_20200811_20210815,2020-08-11,2021-08-15
