sample,qc_param,qc_flag,plutoF_data,gsheets_data
ARMS_Eilat_NR2_20181017_20200524_MF500,arms_id,fail,not found,ARMS_Eilat_NR2_20181017_20200524_MF500
ARMS_Eilat_NR2_20181017_20200524_SF45,arms_id,fail,not found,ARMS_Eilat_NR2_20181017_20200524_SF45
ARMS_Galway_Gurr1_20200721_20210708_MF100,arms_id,fail,not found,ARMS_Galway_Gurr1_20200721_20210708_MF100
ARMS_Galway_Gurr1_20200721_20210708_MF500,arms_id,fail,not found,ARMS_Galway_Gurr1_20200721_20210708_MF500
ARMS_Galway_Gurr1_20200721_20210708_SF40,arms_id,fail,not found,ARMS_Galway_Gurr1_20200721_20210708_SF40
ARMS_Galway_Gurr2_20200721_20210707_MF100,arms_id,fail,not found,ARMS_Galway_Gurr2_20200721_20210707_MF100
ARMS_Galway_Gurr2_20200721_20210707_MF500,arms_id,fail,not found,ARMS_Galway_Gurr2_20200721_20210707_MF500
ARMS_Galway_Gurr2_20200721_20210707_SF40,arms_id,fail,not found,ARMS_Galway_Gurr2_20200721_20210707_SF40
ARMS_Galway_Gurr3_20200723_20210708_MF100,arms_id,fail,not found,ARMS_Galway_Gurr3_20200723_20210708_MF100
ARMS_Galway_Gurr3_20200723_20210708_MF500,arms_id,fail,not found,ARMS_Galway_Gurr3_20200723_20210708_MF500
ARMS_Galway_Gurr3_20200723_20210708_SF40,arms_id,fail,not found,ARMS_Galway_Gurr3_20200723_20210708_SF40
ARMS_Gdynia_GDY1_20180813_20191029_MF100_DMSO,arms_id,fail,not found,ARMS_Gdynia_GDY1_20180813_20191029_MF100_DMSO
ARMS_Gdynia_GDY1_20180813_20191029_MF500_DMSO,arms_id,fail,not found,ARMS_Gdynia_GDY1_20180813_20191029_MF500_DMSO
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO,arms_id,fail,not found,ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO
ARMS_Gdynia_GDY1_20190619_20191029_MF100,arms_id,fail,not found,ARMS_Gdynia_GDY1_20190619_20191029_MF100
ARMS_Gdynia_GDY1_20190619_20191029_MF500,arms_id,fail,not found,ARMS_Gdynia_GDY1_20190619_20191029_MF500
ARMS_Gdynia_GDY1_20190619_20191029_SF38,arms_id,fail,not found,ARMS_Gdynia_GDY1_20190619_20191029_SF38
ARMS_Getxo_G1_20190624_20191016_MF100,arms_id,fail,not found,ARMS_Getxo_G1_20190624_20191016_MF100
ARMS_Getxo_G1_20190624_20191016_MF500,arms_id,fail,not found,ARMS_Getxo_G1_20190624_20191016_MF500
ARMS_Getxo_G1_20190624_20191016_SF40,arms_id,fail,not found,ARMS_Getxo_G1_20190624_20191016_SF40
ARMS_Getxo_G1_20200624_20201103_MF100,arms_id,fail,not found,ARMS_Getxo_G1_20200624_20201103_MF100
ARMS_Getxo_G1_20200624_20201103_MF500,arms_id,fail,not found,ARMS_Getxo_G1_20200624_20201103_MF500
ARMS_Getxo_G1_20200624_20201103_SF40,arms_id,fail,not found,ARMS_Getxo_G1_20200624_20201103_SF40
ARMS_Getxo_G2_20190624_20191016_MF100,arms_id,fail,not found,ARMS_Getxo_G2_20190624_20191016_MF100
ARMS_Getxo_G2_20190624_20191016_MF500,arms_id,fail,not found,ARMS_Getxo_G2_20190624_20191016_MF500
ARMS_Getxo_G2_20190624_20191016_SF40,arms_id,fail,not found,ARMS_Getxo_G2_20190624_20191016_SF40
ARMS_Getxo_G2_20200624_20201103_MF100,arms_id,fail,not found,ARMS_Getxo_G2_20200624_20201103_MF100
ARMS_Getxo_G2_20200624_20201103_SF40,arms_id,fail,not found,ARMS_Getxo_G2_20200624_20201103_SF40
ARMS_Getxo_G3_20190624_20191016_MF100,arms_id,fail,not found,ARMS_Getxo_G3_20190624_20191016_MF100
ARMS_Getxo_G3_20190624_20191016_MF500,arms_id,fail,not found,ARMS_Getxo_G3_20190624_20191016_MF500
ARMS_Getxo_G3_20190624_20191016_SF40,arms_id,fail,not found,ARMS_Getxo_G3_20190624_20191016_SF40
ARMS_Getxo_G3_20200624_20201103_MF100,arms_id,fail,not found,ARMS_Getxo_G3_20200624_20201103_MF100
ARMS_Getxo_G3_20200624_20201103_SF40,arms_id,fail,not found,ARMS_Getxo_G3_20200624_20201103_SF40
ARMS_GulfOfPiran_Loc1_20180815_20181118_MF100_DMSO,arms_id,fail,not found,ARMS_GulfOfPiran_Loc1_20180815_20181118_MF100_DMSO
ARMS_GulfOfPiran_Loc1_20180815_20181118_MF100_ETOH,arms_id,fail,not found,ARMS_GulfOfPiran_Loc1_20180815_20181118_MF100_ETOH
ARMS_GulfOfPiran_Loc1_20180815_20181118_MF500_DMSO,arms_id,fail,not found,ARMS_GulfOfPiran_Loc1_20180815_20181118_MF500_DMSO
ARMS_GulfOfPiran_Loc1_20180815_20181118_MF500_ETOH,arms_id,fail,not found,ARMS_GulfOfPiran_Loc1_20180815_20181118_MF500_ETOH
ARMS_GulfOfPiran_Loc1_20180815_20181118_SF_DMSO,arms_id,fail,not found,ARMS_GulfOfPiran_Loc1_20180815_20181118_SF_DMSO
ARMS_GulfOfPiran_Loc1_20180815_20181118_SF_ETOH,arms_id,fail,not found,ARMS_GulfOfPiran_Loc1_20180815_20181118_SF_ETOH
ARMS_Koster_VH1_20180418_20190527_MF100_DMSO,Material_Sample_ID,fail,ARMS_Koster_VH1_20180418_20190527_MF100,ARMS_Koster_VH1_20180418_20190527_MF100_DMSO
ARMS_Koster_VH1_20180418_20190527_MF100_DMSO,event_id,pass,,
ARMS_Koster_VH1_20180418_20190527_MF500_DMSO,Material_Sample_ID,fail,ARMS_Koster_VH1_20180418_20190527_MF500,ARMS_Koster_VH1_20180418_20190527_MF500_DMSO
ARMS_Koster_VH1_20180418_20190527_MF500_DMSO,event_id,pass,,
ARMS_Koster_VH1_20180418_20190527_SF40_DMSO,Material_Sample_ID,fail,ARMS_Koster_VH1_20180418_20190527_SF40,ARMS_Koster_VH1_20180418_20190527_SF40_DMSO
ARMS_Koster_VH1_20180418_20190527_SF40_DMSO,event_id,pass,,
ARMS_Koster_VH1_20190527_20200716_MF100,event_id,pass,,
ARMS_Koster_VH1_20190527_20200716_MF500,event_id,pass,,
ARMS_Koster_VH1_20190527_20200716_SF40,event_id,pass,,
ARMS_Koster_VH1_20200716_20210608_MF100,arms_id,fail,not found,ARMS_Koster_VH1_20200716_20210608_MF100
ARMS_Koster_VH1_20200716_20210608_MF500,arms_id,fail,not found,ARMS_Koster_VH1_20200716_20210608_MF500
ARMS_Koster_VH1_20200716_20210608_SF40,arms_id,fail,not found,ARMS_Koster_VH1_20200716_20210608_SF40
ARMS_Koster_VH2_20180418_20180906_MF100_ETOH,event_id,pass,,
ARMS_Koster_VH2_20180418_20180906_MF500_ETOH,event_id,pass,,
ARMS_Koster_VH2_20180418_20180906_PS90_ETOH,arms_id,fail,not found,ARMS_Koster_VH2_20180418_20180906_PS90_ETOH
ARMS_Koster_VH2_20180418_20180906_SED100_ETOH,arms_id,fail,not found,ARMS_Koster_VH2_20180418_20180906_SED100_ETOH
ARMS_Koster_VH2_20180418_20180906_SED500_DMSO,arms_id,fail,not found,ARMS_Koster_VH2_20180418_20180906_SED500_DMSO
ARMS_Koster_VH2_20180418_20180906_SF40_DMSO,event_id,pass,,
ARMS_Koster_VH2_20180418_20180906_SF40_ETOH,event_id,pass,,
ARMS_Koster_VH2_20190527_20200716_MF100,event_id,pass,,
ARMS_Koster_VH2_20190527_20200716_MF500,event_id,pass,,
ARMS_Koster_VH2_20190527_20200716_SF40,event_id,pass,,
ARMS_Koster_VH2_20200716_20210608_MF100,arms_id,fail,not found,ARMS_Koster_VH2_20200716_20210608_MF100
ARMS_Koster_VH2_20200716_20210608_MF500,arms_id,fail,not found,ARMS_Koster_VH2_20200716_20210608_MF500
ARMS_Koster_VH2_20200716_20210608_SF40,arms_id,fail,not found,ARMS_Koster_VH2_20200716_20210608_SF40
ARMS_Koster_VH3_20180418_20190527_MF100_DMSO,Material_Sample_ID,fail,ARMS_Koster_VH3_20180418_20190527_MF100,ARMS_Koster_VH3_20180418_20190527_MF100_DMSO
ARMS_Koster_VH3_20180418_20190527_MF100_DMSO,event_id,pass,,
ARMS_Koster_VH3_20180418_20190527_MF500_DMSO,Material_Sample_ID,fail,ARMS_Koster_VH3_20180418_20190527_MF500,ARMS_Koster_VH3_20180418_20190527_MF500_DMSO
ARMS_Koster_VH3_20180418_20190527_MF500_DMSO,event_id,pass,,
ARMS_Koster_VH3_20180418_20190527_SF40_DMSO,arms_id,fail,not found,ARMS_Koster_VH3_20180418_20190527_SF40_DMSO
ARMS_Koster_VH3_20190527_20200716_MF100,event_id,pass,,
ARMS_Koster_VH3_20190527_20200716_MF500,event_id,pass,,
ARMS_Koster_VH3_20190527_20200716_SF40,event_id,pass,,
ARMS_Koster_VH3_20200716_20210608_MF100,arms_id,fail,not found,ARMS_Koster_VH3_20200716_20210608_MF100
ARMS_Koster_VH3_20200716_20210608_MF500,arms_id,fail,not found,ARMS_Koster_VH3_20200716_20210608_MF500
ARMS_Koster_VH3_20200716_20210608_SF40,arms_id,fail,not found,ARMS_Koster_VH3_20200716_20210608_SF40
ARMS_Laeso_Bluereef1_20190819_20200811_MF100,arms_id,fail,not found,ARMS_Laeso_Bluereef1_20190819_20200811_MF100
ARMS_Laeso_Bluereef1_20190819_20200811_MF500,arms_id,fail,not found,ARMS_Laeso_Bluereef1_20190819_20200811_MF500
ARMS_Laeso_Bluereef1_20190819_20200811_SF40,arms_id,fail,not found,ARMS_Laeso_Bluereef1_20190819_20200811_SF40
ARMS_Laeso_Bluereef2_20190819_20200811_MF100,arms_id,fail,not found,ARMS_Laeso_Bluereef2_20190819_20200811_MF100
ARMS_Laeso_Bluereef2_20190819_20200811_MF500,arms_id,fail,not found,ARMS_Laeso_Bluereef2_20190819_20200811_MF500
ARMS_Laeso_Bluereef2_20190819_20200811_SF40,arms_id,fail,not found,ARMS_Laeso_Bluereef2_20190819_20200811_SF40
ARMS_Laeso_Bluereef3_20190819_20200811_MF100,arms_id,fail,not found,ARMS_Laeso_Bluereef3_20190819_20200811_MF100
ARMS_Laeso_Bluereef3_20190819_20200811_MF500,arms_id,fail,not found,ARMS_Laeso_Bluereef3_20190819_20200811_MF500
ARMS_Laeso_Bluereef3_20190819_20200811_SF40,arms_id,fail,not found,ARMS_Laeso_Bluereef3_20190819_20200811_SF40
ARMS_Limfjord_Green33_20190618_20191029_MF100,event_id,pass,,
ARMS_Limfjord_Green33_20190618_20191029_MF500,event_id,pass,,
