ObservatoryID,UnitID,EventID,Filename,Filetype,PlateNumber,Position,Download URL
Laeso,Laeso1,ARMS_Laeso_Laeso1_20190819_20200811,ARMS_salinity_temp_Laesoe.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/3A/8A/3A8A631DF9D049925E060A64919C964D1E2EA8978DA0C95C3969ECE01D0434EC.xlsx
BelgiumCoast,CoastbustersA,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,ImageDescription_ARMS_BelgiumCoast_CoastbustersA_20210422_20211008.csv,Text,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/6F/56/6F56C5A4071DC0C9DE130365949F77458B8E417B58CE8517B7BCF423A995A76D.csv
Crete,2UBPC,ARMS_Crete_2UBPC_20201120_20220901,ARMS HCMR-1 20220901 Images Description.csv,Other,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/C7/ED/C7EDB466C708C8D7C9169B8BD379FD690C016BBFCD633193AB6847A387C1D7E2.csv
SWC,Helsingborg1,ARMS_SWC_Helsingborg1_20200305_20200604,Plattor Helsingborg.pdf,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/8C/A2/8CA2532654BB04A2D4377BFDE3E63E295AB9E3111917A8342C0ECC72E9B32098.pdf
Getxo,G2,ARMS_Getxo_G2_20190624_20191016,Taxaidentified.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/AF/F8/AFF8CB69438A967B6C54BB29D715F342709E34B34B02D3088E5644298E1DAD09.xlsx
SWC,Gbg4,ARMS_SWC_Gbg4_20200206_20200529,ARMS_SwedishWestCoast_Gbg4_200206_200529.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/03/30/0330B15EA0552CABE90787D2754D376BB312FECC1E60CFC57645380794B15915.xlsx
SWC,Preemraff2,ARMS_SWC_Preemraff2_20200401_20200715,ARMS_SwedishWestCoast_Preemraff2_200401_200715.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/1A/FD/1AFD34FBA8EECDD2D50B01ECC1A698431A24572C38E778B45777672D2C5FD67F.xlsx
Galway,Gurr3,ARMS_Galway_Gurr3_20200723_20210708,ManualObservations_ARMS_Galway_GURR3_200723_210708.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/3A/60/3A600C6677BFC1E2F48D2C66C14D86BD28E8C94C7E8D4A5DE608F98BFA86AFCE.xlsx
Koster,VH2,ARMS_Koster_VH2_20190527_20200716,ManualObservations_ARMS_KOSTER_VH2_190527-200716_v1.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/3B/8C/3B8C8F0AB3DCDD2C10A5F8C2B731F706F13DFEE9E55993A8E3218BD5C84B0FAE.xlsx
Koster,VH3,ARMS_Koster_VH3_20190527_20200716,VH3_190527-200716.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/22/EF/22EF2709B29AFF6F301DFD390CE2C97D9A8803A795177C824F2F02A8B8AB831B.xlsx
Getxo,G3,ARMS_Getxo_G3_20190624_20191016,ManualObservations_ARMS_Getxo_G3-190624-191016.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/E6/0E/E60E58F1CC1DA8618F52AAEF2623CD603E64F4CC197FCD9E9BD3A898827DFC8D.xlsx
