EventID,Country,Observatory-ID,ARMS-ID,Latitude,Longitude,Depth (m),Deployment Date,Collection Date,Fraction,Preservative,Filter (micrometer),MaterialSample-ID,OriginalSample-ID,gene_COI,gene_COI_negative_control,gene_ITS,gene_ITS_negative_control,gene_18S,gene_18S_negative_control
ARMS_Crete_1HERP_20190612_20191011,Greece,Crete,1HERP,35.343153,25.136605,4,2019-06-12,2019-10-11,Sessile,Frozen,none,ARMS_Crete_1HERP_20190612_20191011_SF,2019_1HERP_ARMS2_SF1,ERR7125543,ERR7125534,ERR7125544,ERR7125535,ERR7125542,ERR7125533
ARMS_Crete_1HERP_20190612_20200210,Greece,Crete,1HERP,35.343153,25.136605,4,2019-06-12,2020-02-10,Motile,Frozen,500,ARMS_Crete_1HERP_20190612_20200210_MF500,2020_1HERP_ARMS3_MF500,ERR7125546,ERR7125534,ERR7125547,ERR7125535,ERR7125545,ERR7125533
ARMS_Crete_1HERP_20190612_20200210,Greece,Crete,1HERP,35.343153,25.136605,4,2019-06-12,2020-02-10,Motile,Frozen,90,ARMS_Crete_1HERP_20190612_20200210_MF90,2020_1HERP_ARMS3_MF90,ERR7125549,ERR7125534,ERR7125550,ERR7125535,ERR7125548,ERR7125533
ARMS_Crete_1HERP_20190612_20200210,Greece,Crete,1HERP,35.343153,25.136605,4,2019-06-12,2020-02-10,Sessile,Frozen,none,ARMS_Crete_1HERP_20190612_20200210_SF,2020_1HERP_ARMS3_SF1,ERR7125552,ERR7125534,ERR7125553,ERR7125535,ERR7125551,ERR7125533
ARMS_Crete_1HERP_20190612_20200618,Greece,Crete,1HERP,35.343153,25.136605,4,2019-06-12,2020-06-18,Motile,Frozen,500,ARMS_Crete_1HERP_20190612_20200618_MF500,ARMS4_200618_Motile_500,ERR7125555,ERR7125534,ERR7125556,ERR7125535,ERR7125554,ERR7125533
ARMS_Crete_1HERP_20190612_20200618,Greece,Crete,1HERP,35.343153,25.136605,4,2019-06-12,2020-06-18,Motile,Frozen,90,ARMS_Crete_1HERP_20190612_20200618_MF90,ARMS4_200618_Motile_90,ERR7125558,ERR7125534,ERR7125559,ERR7125535,ERR7125557,ERR7125533
ARMS_Crete_1HERP_20190612_20200618,Greece,Crete,1HERP,35.343153,25.136605,4,2019-06-12,2020-06-18,Sessile,Frozen,none,ARMS_Crete_1HERP_20190612_20200618_SF,ARMS4_200618_Sessile,ERR7125561,ERR7125534,ERR7125562,ERR7125535,ERR7125560,ERR7125533
ARMS_Crete_1HERP_20200903_20210122,Greece,Crete,1HERP,35.343153,25.136605,4,2020-09-03,2021-01-22,Motile,Frozen,500,ARMS_Crete_1HERP_20200903_20210122_MF500,ARMS5_200903-210122_Motile_500,ERR7125564,ERR7125534,ERR7125565,ERR7125535,ERR7125563,ERR7125533
ARMS_Crete_1HERP_20200903_20210122,Greece,Crete,1HERP,35.343153,25.136605,4,2020-09-03,2021-01-22,Motile,Frozen,90,ARMS_Crete_1HERP_20200903_20210122_MF90,ARMS5_200903-210122_Motile_90,ERR7125567,ERR7125534,ERR7125568,ERR7125535,ERR7125566,ERR7125533
ARMS_Crete_1HERP_20200903_20210122,Greece,Crete,1HERP,35.343153,25.136605,4,2020-09-03,2021-01-22,Sessile,Frozen,none,ARMS_Crete_1HERP_20200903_20210122_SF,ARMS5_200903-210122_Sessile,ERR7125570,ERR7125534,ERR7125571,ERR7125535,ERR7125569,ERR7125533
ARMS_Crete_2UBPC_20190924_20201211,Greece,Crete,2UBPC,35.34662,25.27876,21,2019-09-24,2020-12-11,Motile,Frozen,500,ARMS_Crete_2UBPC_20190924_20201211_MF500,ARMS_Crete_2UBPC_190924-201211_MF500,ERR7125573,ERR7125534,ERR7125574,ERR7125535,ERR7125572,ERR7125533
ARMS_Crete_2UBPC_20190924_20201211,Greece,Crete,2UBPC,35.34662,25.27876,21,2019-09-24,2020-12-11,Motile,Frozen,90,ARMS_Crete_2UBPC_20190924_20201211_MF90,ARMS_Crete_2UBPC_190924-201211_MF90,ERR7125576,ERR7125534,ERR7125577,ERR7125535,ERR7125575,ERR7125533
ARMS_Crete_2UBPC_20190924_20201211,Greece,Crete,2UBPC,35.34662,25.27876,21,2019-09-24,2020-12-11,Sessile,Frozen,none,ARMS_Crete_2UBPC_20190924_20201211_SF,ARMS_Crete_2UBPC_190924-201211_SF,ERR7125579,ERR7125534,ERR7125580,ERR7125535,ERR7125578,ERR7125533
ARMS_Eilat_Katza1_20181024_20200607,Israel,Eilat,Katza1 ,29.520000,34.934444,10,2018-10-24,2020-06-07,Motile,DMSO,100,ARMS_Eilat_Katza1_20181024_20200607_MF100,ARMS_Katza_1_181024-200607_100_1,ERR7127623,ERR7125582,no longer provided,no longer provided,ERR7127611,ERR7125581
ARMS_Eilat_Katza1_20181024_20200607,Israel,Eilat,Katza1 ,29.520000,34.934444,10,2018-10-24,2020-06-07,Motile,DMSO,500,ARMS_Eilat_Katza1_20181024_20200607_MF500,ARMS_Katza_1_181024-200607_500_1,ERR7127624,ERR7125582,no longer provided,no longer provided,ERR7127612,ERR7125581
ARMS_Eilat_Katza1_20181024_20200607,Israel,Eilat,Katza1 ,29.520000,34.934444,10,2018-10-24,2020-06-07,Sessile,DMSO,45,ARMS_Eilat_Katza1_20181024_20200607_SF45,ARMS_Katza_1_181024-200607_45_1,ERR7127625,ERR7125582,no longer provided,no longer provided,ERR7127613,ERR7125581
ARMS_Eilat_Katza2_20181024_20200803,Israel,Eilat,Katza2 ,29.520000,34.934444,10,2018-10-24,2020-08-03,Motile,DMSO,100,ARMS_Eilat_Katza2_20181024_20200803_MF100,ARMS_Katza_2_181024-200803_100_2,ERR7127626,ERR7125582,no longer provided,no longer provided,ERR7127614,ERR7125581
ARMS_Eilat_Katza2_20181024_20200803,Israel,Eilat,Katza2 ,29.520000,34.934444,10,2018-10-24,2020-08-03,Motile,DMSO,500,ARMS_Eilat_Katza2_20181024_20200803_MF500,ARMS_Katza_2_181024-200803_500_2,ERR7127627,ERR7125582,no longer provided,no longer provided,ERR7127615,ERR7125581
ARMS_Eilat_Katza2_20181024_20200803,Israel,Eilat,Katza2 ,29.520000,34.934444,10,2018-10-24,2020-08-03,Sessile,DMSO,45,ARMS_Eilat_Katza2_20181024_20200803_SF45,ARMS_Katza_2_181024-200803_45_2,ERR7127628,ERR7125582,no longer provided,no longer provided,ERR7127616,ERR7125581
ARMS_Eilat_NR1_20181017_20200204,Israel,Eilat,NR1 ,29.50555,34.920278,10,2018-10-17,2020-04-02,Motile,DMSO,100,ARMS_Eilat_NR1_20181017_20200204_MF100,ARMS_NR_1_181017-200204_100_1,ERR7127629,ERR7125582,no longer provided,no longer provided,ERR7127617,ERR7125581
ARMS_Eilat_NR1_20181017_20200204,Israel,Eilat,NR1 ,29.50555,34.920278,10,2018-10-17,2020-04-02,Motile,DMSO,500,ARMS_Eilat_NR1_20181017_20200204_MF500,ARMS_NR_1_181017-200204_500_1,ERR7127630,ERR7125582,no longer provided,no longer provided,ERR7127618,ERR7125581
ARMS_Eilat_NR1_20181017_20200204,Israel,Eilat,NR1 ,29.50555,34.920278,10,2018-10-17,2020-04-02,Sessile,DMSO,45,ARMS_Eilat_NR1_20181017_20200204_SF45,ARMS_NR_1_181017-200204_45_1,ERR7127631,ERR7125582,no longer provided,no longer provided,ERR7127619,ERR7125581
ARMS_Eilat_NR2_20181017_20200524,Israel,Eilat,NR2 ,29.50555,34.920278,10,2018-10-17,2020-05-24,Motile,DMSO,100,ARMS_Eilat_NR2_20181017_20200524_MF100,ARMS_NR_2_181017-200524_100_2,ERR7127632,ERR7125582,no longer provided,no longer provided,ERR7127620,ERR7125581
ARMS_Eilat_NR2_20181017_20200524,Israel,Eilat,NR2 ,29.50555,34.920278,10,2018-10-17,2020-05-24,Motile,DMSO,500,ARMS_Eilat_NR2_20181017_20200524_MF500,ARMS_NR_2_181017-200524_500_2,ERR7127633,ERR7125582,no longer provided,no longer provided,ERR7127621,ERR7125581
ARMS_Eilat_NR2_20181017_20200524,Israel,Eilat,NR2 ,29.50555,34.920278,10,2018-10-17,2020-05-24,Sessile,DMSO,45,ARMS_Eilat_NR2_20181017_20200524_SF45,ARMS_NR_2_181017-200524_45_2,ERR7127634,ERR7125582,no longer provided,no longer provided,ERR7127622,ERR7125581
ARMS_Gdynia_GDY1_20180813_20191029,Poland,Gdynia,GDY1,54.48522,18.57111,4,2018-08-13,2019-10-29,Motile,DMSO-EDTA,100,ARMS_Gdynia_GDY1_20180813_20191029_MF100_DMSO,1206_GDY_2018_MF100_DESS,ERR4018726,ERR4018471,ERR4018724,ERR4018473,ERR4018722,ERR4018472
ARMS_Gdynia_GDY1_20180813_20191029,Poland,Gdynia,GDY1,54.48522,18.57111,4,2018-08-13,2019-10-29,Motile,DMSO-EDTA,500,ARMS_Gdynia_GDY1_20180813_20191029_MF500_DMSO,1206_GDY_2018_MF500_DESS,ERR4018727,ERR4018471,ERR4018725,ERR4018473,ERR4018723,ERR4018472
ARMS_Gdynia_GDY1_20180813_20191029,Poland,Gdynia,GDY1,54.48522,18.57111,4,2018-08-13,2019-10-29,Sessile,DMSO-EDTA,38,ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO,1206_GDY_2018_SF-Plate1-DESS,failed,ERR7125534,failed,ERR7125535,failed,ERR7125533
ARMS_Gdynia_GDY1_20190619_20191029,Poland,Gdynia,GDY1,54.48522,18.57111,4,2019-06-19,2019-10-29,Motile,DMSO-EDTA,100,ARMS_Gdynia_GDY1_20190619_20191029_MF100,1285_GDY_2019_MF100-DESS,ERR9632087,ERR9632065,no longer provided,no longer provided,ERR9632072,ERR9632062
ARMS_Gdynia_GDY1_20190619_20191029,Poland,Gdynia,GDY1,54.48522,18.57111,4,2019-06-19,2019-10-29,Motile,DMSO-EDTA,500,ARMS_Gdynia_GDY1_20190619_20191029_MF500,1285_GDY_2019_MF500-DESS,ERR7125527,ERR7125534,ERR7125528,ERR7125535,ERR7125526,ERR7125533
ARMS_Gdynia_GDY1_20190619_20191029,Poland,Gdynia,GDY1,54.48522,18.57111,4,2019-06-19,2019-10-29,Sessile,DMSO-EDTA,38,ARMS_Gdynia_GDY1_20190619_20191029_SF38,1285_GDY_2019_SF-Plate1-DESS,ERR9632088,ERR9632065,no longer provided,no longer provided,ERR9632073,ERR9632062
ARMS_Getxo_G1_20190624_20191016,Spain,Getxo,G1,43.338452,-3.014833,5,2019-06-24,2019-10-16,Motile,DMSO,100,ARMS_Getxo_G1_20190624_20191016_MF100,Getxo-G1-MF100-A-DMSO,ERR7127704,ERR7125582,no longer provided,no longer provided,ERR7127693,ERR7125581
ARMS_Getxo_G1_20190624_20191016,Spain,Getxo,G1,43.338452,-3.014833,5,2019-06-24,2019-10-16,Motile,DMSO,500,ARMS_Getxo_G1_20190624_20191016_MF500,Getxo-G1-MF500-A-DMSO,ERR7127705,ERR7125582,no longer provided,no longer provided,ERR7127694,ERR7125581
ARMS_Getxo_G1_20190624_20191016,Spain,Getxo,G1,43.338452,-3.014833,5,2019-06-24,2019-10-16,Sessile,DMSO,40,ARMS_Getxo_G1_20190624_20191016_SF40,Getxo-G1-SF40-A-DMSO,ERR7127706,ERR7125582,no longer provided,no longer provided,ERR7127695,ERR7125581
ARMS_Getxo_G1_20200624_20201103,Spain,Getxo,G1,43.338452,-3.014833,5,2020-06-24,2020-11-03,Motile,DMSO,100,ARMS_Getxo_G1_20200624_20201103_MF100,Getxo-G1-MF100-A-B-C-DMSO,ERR7127667,ERR7125534,ERR7127668,ERR7125535,ERR7127666,ERR7125533
ARMS_Getxo_G1_20200624_20201103,Spain,Getxo,G1,43.338452,-3.014833,5,2020-06-24,2020-11-03,Motile,DMSO,500,ARMS_Getxo_G1_20200624_20201103_MF500,Getxo-G1-MF500-A-B-C-DMSO,ERR7127670,ERR7125534,ERR7127671,ERR7125535,ERR7127669,ERR7125533
ARMS_Getxo_G1_20200624_20201103,Spain,Getxo,G1,43.338452,-3.014833,5,2020-06-24,2020-11-03,Sessile,DMSO,40,ARMS_Getxo_G1_20200624_20201103_SF40,Getxo-G1-SF40-A-B-C-DMSO,ERR7127673,ERR7125534,ERR7127674,ERR7125535,ERR7127672,ERR7125533
ARMS_Getxo_G2_20190624_20191016,Spain,Getxo,G2,43.3385,-3.01491,5,2019-06-24,2019-10-16,Motile,DMSO,100,ARMS_Getxo_G2_20190624_20191016_MF100,Getxo-G2-MF100-A-DMSO,ERR7127676,ERR7125534,ERR7127677,ERR7125535,ERR7127675,ERR7125533
ARMS_Getxo_G2_20190624_20191016,Spain,Getxo,G2,43.3385,-3.01491,5,2019-06-24,2019-10-16,Motile,DMSO,500,ARMS_Getxo_G2_20190624_20191016_MF500,Getxo-G2-MF500-A-DMSO,ERR7127707,ERR7125582,no longer provided,no longer provided,ERR7127696,ERR7125581
ARMS_Getxo_G2_20190624_20191016,Spain,Getxo,G2,43.3385,-3.01491,5,2019-06-24,2019-10-16,Sessile,DMSO,40,ARMS_Getxo_G2_20190624_20191016_SF40,Getxo-G2-SF40-A-DMSO,ERR7127708,ERR7125582,no longer provided,no longer provided,ERR7127697,ERR7125581
ARMS_Getxo_G2_20200624_20201103,Spain,Getxo,G2,43.3385,-3.01491,5,2020-06-24,2020-11-03,Motile,DMSO,100,ARMS_Getxo_G2_20200624_20201103_MF100,Getxo-G2-MF100-A-B-C-DMSO,ERR7127679,ERR7125534,ERR7127680,ERR7125535,ERR7127678,ERR7125533
ARMS_Getxo_G2_20200624_20201103,Spain,Getxo,G2,43.3385,-3.01491,5,2020-06-24,2020-11-03,Sessile,DMSO,40,ARMS_Getxo_G2_20200624_20201103_SF40,Getxo-G2-SF40-A-B-C-DMSO,ERR7127682,ERR7125534,ERR7127683,ERR7125535,ERR7127681,ERR7125533
ARMS_Getxo_G3_20190624_20191016,Spain,Getxo,G3,43.33843,-3.01483,5,2019-06-24,2019-10-16,Motile,DMSO,100,ARMS_Getxo_G3_20190624_20191016_MF100,Getxo-G3-MF100-A-DMSO,ERR7127709,ERR7125582,no longer provided,no longer provided,ERR7127698,ERR7125581
ARMS_Getxo_G3_20190624_20191016,Spain,Getxo,G3,43.33843,-3.01483,5,2019-06-24,2019-10-16,Motile,DMSO,500,ARMS_Getxo_G3_20190624_20191016_MF500,Getxo-G3-MF500-A-DMSO,ERR7127710,ERR7125582,no longer provided,no longer provided,ERR7127699,ERR7125581
ARMS_Getxo_G3_20190624_20191016,spain,Getxo,G3,43.33843,-3.01483,5,2019-06-24,2019-10-16,Sessile,DMSO,40,ARMS_Getxo_G3_20190624_20191016_SF40,Getxo-G3-SF40-A-DMSO,ERR7127711,ERR7125582,no longer provided,no longer provided,ERR7127700,ERR7125581
ARMS_Getxo_G3_20200624_20201103,Spain,Getxo,G3,43.33843,-3.01483,5,2020-06-24,2020-11-03,Motile,DMSO,100,ARMS_Getxo_G3_20200624_20201103_MF100,Getxo-G3-MF100-A-B-C-DMSO,ERR7127685,ERR7125534,ERR7127686,ERR7125535,ERR7127684,ERR7125533
ARMS_Getxo_G3_20200624_20201103,Spain,Getxo,G3,43.33843,-3.01483,5,2020-06-24,2020-11-03,Sessile,DMSO,40,ARMS_Getxo_G3_20200624_20201103_SF40,Getxo-G3-SF40-A-B-C-DMSO,ERR7127688,ERR7125534,ERR7127689,ERR7125535,ERR7127687,ERR7125533
ARMS_Koster_VH1_20180418_20190527,Sweden,Koster,VH1,58.875155,11.103194,24,2018-04-18,2019-05-27,Motile,DMSO,100,ARMS_Koster_VH1_20180418_20190527_MF100_DMSO,2018_Koster_VH1_MF100_DMSO,ERR4018467,ERR4018471,ERR4018462,ERR4018473,ERR4018457,ERR4018472
ARMS_Koster_VH1_20180418_20190527,Sweden,Koster,VH1,58.875155,11.103194,24,2018-04-18,2019-05-27,Motile,DMSO,500,ARMS_Koster_VH1_20180418_20190527_MF500_DMSO,2018_Koster_VH1_MF500_DMSO,ERR4018466,ERR4018471,ERR4018461,ERR4018473,ERR4018456,ERR4018472
ARMS_Koster_VH1_20180418_20190527,Sweden,Koster,VH1,58.875155,11.103194,24,2018-04-18,2019-05-27,Sessile,DMSO,40,ARMS_Koster_VH1_20180418_20190527_SF40_DMSO,2018_Koster_VH1_SF40_DMSO,ERR4018468,ERR4018471,ERR4018463,ERR4018473,ERR4018458,ERR4018472
ARMS_Koster_VH1_20190527_20200716,Sweden,Koster,VH1,58.875155,11.103194,24,2019-05-27,2020-07-16,Motile,DMSO,100,ARMS_Koster_VH1_20190527_20200716_MF100,ARMS_KOSTER_VH1_190527-200716_ MF100,ERR4914103,ERR4914160,ERR4914161,ERR4914218,ERR4914045,ERR4914102
