Station,Country,ARMS_unit,Latitude,Longitude,Depth_min,Depth_max,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Data,Created,Updated
Svalbard,Norway,S1B,78.21302778,15.23361111,14,14,2020-08-06,2022-07-31,ARMS_Svalbard_S1B_20200806_20220731,0,0,0,186,2020-09-12,2023-09-21
Svalbard,Norway,S1C,78.21302778,15.23361111,14,14,2020-08-06,2022-08-03,ARMS_Svalbard_S1C_20200806_20220803,0,0,0,195,2020-09-12,2023-09-21
Svalbard,Norway,S1,78.21302778,15.23361111,14,14,2019-08-06,2020-08-04,ARMS_Svalbard_S1_20190806_20200804,0,0,0,321,2019-11-11,2021-12-06
Svalbard,Norway,S1,78.21302778,15.23361111,14,14,2018-07-06,2019-08-06,ARMS_Svalbard_S1_20180706_20190806,0,0,0,197,2019-11-11,2021-11-26
Svalbard,Norway,Svalbard S1A,,,no measurements,no measurements,2022-08-08,2024-06-26,ARMS_Svalbard_Svalbard S1A_20220808_20240626,0,0,0,180,2024-12-17,2024-12-23
Svalbard,Norway,Svalbard S1B,,,no measurements,no measurements,2022-08-08,2024-06-30,ARMS_Svalbard_Svalbard S1B_20220808_20240630,0,0,0,181,2024-12-23,2024-12-23
Svalbard,Norway,Svalbard S1C,,,no measurements,no measurements,2022-08-08,2024-06-30,ARMS_Svalbard_Svalbard S1C_20220808_20240630,0,0,0,181,2024-12-23,2024-12-23
Rothera,Antarctica,SouthCove1,-67.57500000,-68.13466667,21,21,2019-08-29,2022-02-21,ARMS_Rothera_SouthCove1_20190829_20220221,0,0,0,18,2019-11-11,2024-10-03
Rothera,Antarctica,Cheshire1,-67.57383333,-68.12523333,20,20,2019-12-10,2022-02-21,ARMS_Rothera_Cheshire1_20191210_20220221,0,0,0,18,2019-11-11,2024-10-03
BelgiumCoast,Belgium,AZFPout,51.68821000,2.84921000,38,38,2018-07-12,2018-08-18,ARMS_BelgiumCoast_AZFPout_20180712_20180818,0,0,0,125,2019-11-11,2022-10-18
BelgiumCoast,Belgium,AZBW1,51.36290600,3.18363400,12,12,2019-09-24,2020-03-03,ARMS_BelgiumCoast_AZBW1_20190924_20200303,0,0,0,1,2020-05-12,2022-03-25
BelgiumCoast,Belgium,AJJC86,51.65264000,2.79369998,37,37,2020-05-06,2020-10-12,ARMS_BelgiumCoast_AJJC86_20200506_20201012,3,0,0,35,2020-09-25,2023-11-20
BelgiumCoast,Belgium,AZBE1,51.36429800,3.20701000,7,7,2019-09-24,2020-03-03,ARMS_BelgiumCoast_AZBE1_20190924_20200303,3,0,0,39,2020-05-12,2023-11-07
BelgiumCoast,Belgium,AJJCD89,51.64505000,2.79307400,18.64,18.64,2021-02-25,2021-08-19,ARMS_BelgiumCoast_AJJCD89_20210225_20210819,3,0,0,19,2021-09-01,2022-09-28
BelgiumCoast,Belgium,AJJBC89,51.64971000,2.78937400,20.815624,20.815624,2021-02-25,2021-08-19,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,3,0,0,19,2021-09-01,2023-11-20
BelgiumCoast,Belgium,AZFPin,51.66522000,2.82558000,37.5,37.5,2018-07-12,2018-08-18,ARMS_BelgiumCoast_AZFPin_20180712_20180818,2,0,0,294,2019-11-11,2022-10-18
