Material_Sample_ID,Parent_Event_ID,Description,Created_At,Updated_At,Sequences,Associated data
ARMS_BelgiumCoast_CPowerC_20210623_20220622_MF500_2,ARMS_BelgiumCoast_CPowerC_20210623_20220622,Motile,2022-10-06,2024-07-31,0,19
ARMS_BelgiumCoast_CPowerC_20210623_20220622_SF40_3,ARMS_BelgiumCoast_CPowerC_20210623_20220622,Sessile,2022-10-06,2024-07-31,0,19
ARMS_BelgiumCoast_CPowerC_20210623_20220622_SF40_2,ARMS_BelgiumCoast_CPowerC_20210623_20220622,Sessile,2022-10-06,2024-07-31,0,19
ARMS_BelgiumCoast_CPowerC_20210623_20220622_MF100_1,ARMS_BelgiumCoast_CPowerC_20210623_20220622,Motile,2022-10-06,2024-07-31,0,19
ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_SF40,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,Sessile,2022-10-06,2024-06-06,0,19
ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_MF500,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,Motile,2022-10-06,2024-06-06,0,19
ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_MF100,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,Motile,2022-10-06,2024-06-06,0,19
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF500,ARMS_BelgiumCoast_AJJC81_20200506_20201012,Motile,2022-10-06,2024-06-06,0,37
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100,ARMS_BelgiumCoast_AJJC81_20200506_20201012,Motile,2022-10-06,2024-06-06,0,37
ARMS_BelgiumCoast_AJJC81_20200506_20201012_SF40,ARMS_BelgiumCoast_AJJC81_20200506_20201012,Sessile,2022-11-04,2024-06-06,0,37
ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309_MF500,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309,Motile,2022-10-06,2024-06-06,0,19
ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309_SF40,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309,Sessile,2022-10-06,2024-06-06,0,19
ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309_MF100,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309,Motile,2022-10-06,2024-06-06,0,19
ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF500,ARMS_BelgiumCoast_AJJCD78_20200506_20201012,Motile,2022-10-06,2024-06-06,0,37
ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF100,ARMS_BelgiumCoast_AJJCD78_20200506_20201012,Motile,2022-10-06,2024-06-06,0,37
ARMS_BelgiumCoast_AJJCD78_20210225_20210819_SF40,ARMS_BelgiumCoast_AJJCD78_20210225_20210819,Sessile,2022-10-06,2024-06-06,0,19
ARMS_BelgiumCoast_AJJCD78_20210225_20210819_MF500,ARMS_BelgiumCoast_AJJCD78_20210225_20210819,Motile,2022-10-06,2024-06-06,0,19
ARMS_BelgiumCoast_AJJCD78_20210225_20210819_MF100,ARMS_BelgiumCoast_AJJCD78_20210225_20210819,Motile,2022-10-06,2024-06-06,0,19
ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_MF500_1,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215,Motile,2023-02-15,2024-06-06,0,18
ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_MF100_1,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215,Motile,2023-02-15,2024-06-06,0,18
ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_SF40_1,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215,Sessile,2023-02-15,2024-06-06,0,18
ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_SF40_2,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215,Sessile,2023-09-11,2024-02-20,0,18
ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_MF100_2,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215,Motile,2023-09-11,2024-02-20,0,18
ARMS_Limfjord_Green33_20190618_20191029_MF100,ARMS_Limfjord_Green33_20190618_20191029,,2021-04-30,2024-06-06,157,28
ARMS_Limfjord_Green33_20190618_20191029_MF500,ARMS_Limfjord_Green33_20190618_20191029,,2021-04-30,2024-06-06,130,28
ARMS_Limfjord_Green33_20190618_20191029_SF40,ARMS_Limfjord_Green33_20190618_20191029,,2021-04-30,2024-06-06,89,28
ARMS_Limfjord_Red2_20190618_20191029_MF100,ARMS_Limfjord_Red2_20190618_20191029,,2021-04-30,2024-06-06,167,56
ARMS_Limfjord_Red2_20190618_20191029_MF500,ARMS_Limfjord_Red2_20190618_20191029,,2021-04-30,2024-06-06,57,56
